video_name,frame_idx,track_A,track_B,distance,dir_A,dir_B,traj_dir_A,traj_dir_B,dx_A,dy_A,dx_B,dy_B,pair,dframes,approach_speed,ttc,relative_angle,trajectory_angle_diff,v_rel
7YEUfIVVk9Y_6_00,56,19,16,582.5727872978621,0.0,-1.1352537652545478,0.0,-1.0478500385427711,,,2.3500000000000227,-5.050000000000068,16_19,,0.0,9999.0,65.04524942542109,60.03738477112143,0.0
7YEUfIVVk9Y_6_00,58,19,16,577.6314417515723,0.0,-1.173716881569925,0.0,-1.052356676577788,0.0,0.0,1.9499999999999318,-4.649999999999977,16_19,2.0,2.4706727731448836,233.79520267927413,67.24902365721297,60.29559611032103,2.521160447095718
7YEUfIVVk9Y_6_00,60,19,16,574.1672948714512,0.0,-0.8379812250083816,0.0,-1.0464106109524844,0.0,0.0,2.7000000000000455,-3.0,16_19,2.0,1.7320734400605602,331.49131069833624,48.01278750418286,59.95491164528332,2.0180436070610717
7YEUfIVVk9Y_6_00,98,19,16,415.36154432012603,-3.0990651189700094,-1.9902737885502535,2.896613990462929,-1.1991786044718646,-2.3500000000000227,-0.09999999999999964,-1.6499999999999773,-3.6999999999999886,16_19,38.0,4.179098698719083,99.39022125690322,63.52906359374754,125.32837054930079,0.09651116221522231
7YEUfIVVk9Y_6_00,100,19,16,409.0672316380279,1.5363272257953415,-1.1646075243758949,2.3561944901923275,-1.2038812457823511,0.05000000000006821,1.4499999999999993,2.0,-4.649999999999977,16_19,2.0,3.1471563410490546,129.97995247407118,154.75216192503325,156.0226855817205,3.2020501245295745
7YEUfIVVk9Y_6_00,102,19,16,406.28676141365963,-1.5707963267948966,-2.1825232918507727,2.424580833782831,-1.225208873703235,0.0,-0.25,-2.3500000000000227,-3.3500000000000227,16_19,2.0,1.3902351121841434,292.2432025007328,35.04937331204849,150.88245365076114,1.9450257067710088
7YEUfIVVk9Y_6_00,104,19,16,401.75796507350043,1.5707963267948966,-1.7967555444835361,2.331199696573407,-1.2404144456589519,0.0,0.35000000000000053,-1.0,-4.350000000000023,16_19,2.0,2.264398170079602,177.42372802720342,167.05349048436312,155.3615836008481,2.402602755346804
7YEUfIVVk9Y_6_00,106,19,16,398.0414865312409,-1.5707963267948966,-1.5707963267948966,2.3961731773156174,-1.2567738716001793,0.0,-0.25,0.0,-4.0,16_19,2.0,1.8582392711297757,214.2035703987888,0.0,150.70155131235575,1.875
7YEUfIVVk9Y_6_00,76,21,16,522.3631040760823,0.0,-1.0325746251834214,0.0,-1.0657725500128385,,,2.0,-3.3500000000000227,16_21,,0.0,9999.0,59.16216805531293,61.06426903663109,0.0
7YEUfIVVk9Y_6_00,78,21,16,523.8325615117869,-1.735945004209508,-1.4696390263523984,-1.735945004209508,-1.0865021638583094,-0.04999999999999716,-0.30000000000001137,1.3500000000000227,-13.300000000000011,16_21,2.0,-0.7347287178523061,9999.0,15.258208590316727,37.210333787112184,6.537583651472462
7YEUfIVVk9Y_6_00,88,21,16,533.8348152752873,3.141592653589793,-1.3258176636680323,-1.8925468811915316,-1.0859962580648628,-0.05000000000000426,0.0,1.0,-4.0,16_21,10.0,-1.0002253763500335,9999.0,104.0362434679265,46.21194666880477,0.41355168963504446
7YEUfIVVk9Y_6_00,90,21,16,535.4962861682609,3.141592653589793,-1.2882413743253034,-2.0344439357956836,-1.0978623659170947,-0.04999999999999716,0.0,1.3500000000000227,-4.649999999999977,16_21,2.0,-0.8307354464868126,9999.0,106.18920625702728,53.66217112378013,2.4280908137876476
7YEUfIVVk9Y_6_00,92,21,16,536.750556590303,1.8925468811915316,-1.5707963267948966,3.141592653589793,-1.1352057363444916,-0.10000000000000142,0.30000000000001137,0.0,-15.050000000000011,16_21,2.0,-0.6271352110210273,9999.0,161.5650511770784,114.95750242841972,7.675162864721515
7YEUfIVVk9Y_6_00,94,21,16,537.8676068513515,0.0,-1.441521322746758,3.141592653589793,-1.144372311572207,0.0,0.0,0.6499999999999773,-5.0,16_21,2.0,-0.5585251305242878,9999.0,82.59308787150503,114.4322963552825,2.5210364931908447
7YEUfIVVk9Y_6_00,96,21,16,538.6066212923863,-1.4056476493802852,-1.4948556905289974,-2.158798930342453,-1.1650795613214553,0.04999999999999716,-0.30000000000001137,0.35000000000002274,-4.600000000000023,16_21,2.0,-0.3695072205173915,9999.0,5.111244256450588,56.93592586530636,2.155226206225237
