video_name,frame_idx,track_A,track_B,distance,dir_A,dir_B,traj_dir_A,traj_dir_B,dx_A,dy_A,dx_B,dy_B,pair,dframes,approach_speed,ttc,relative_angle,trajectory_angle_diff,v_rel
AeQaR7cklVU_00,266,101,100,370.51670002848726,0.0,2.5473789497893593,0.0,2.66242522646656,,,-9.25,6.25,100_101,,0.0,9999.0,145.95406264339834,152.5457287456963,0.0
AeQaR7cklVU_00,267,101,100,381.957903439633,-0.3805063771123453,2.7076392841958965,-0.3805063771123453,2.67069879460909,0.5,-0.19999999999998863,-10.25,4.75,100_101,1.0,-11.44120341114575,9999.0,176.93771291459882,174.82117876812785,11.834905998781734
AeQaR7cklVU_00,268,101,100,393.9178213790282,-0.6747409422235596,2.6387494426619322,-0.5880026035475676,2.6657132387523568,1.0,-0.8000000000000114,-10.0,5.5,100_101,1.0,-11.959917939395211,9999.0,170.15098548888258,173.57581450136058,12.676355943251204
AeQaR7cklVU_00,269,101,100,405.8036963853336,-1.1071487177940904,2.72072049259928,-0.7853981633974483,2.6731882094317694,0.5,-1.0,-10.5,4.699999999999989,100_101,1.0,-11.885875006305355,9999.0,140.67924971638493,161.837597755426,12.389108119634757
AeQaR7cklVU_00,270,101,100,418.4845427252959,-1.5707963267948966,2.607591550418193,-0.8441539861131709,2.664247271216121,0.0,-0.25,-11.5,6.800000000000011,100_101,1.0,-12.68084633996233,9999.0,120.59600946706273,158.9834151166401,13.488976981224342
AeQaR7cklVU_00,271,101,100,432.03875983527223,-0.46364760900080615,2.6061731116531677,-0.7853981633974483,2.6571147245527698,0.5,-0.25,-11.800000000000011,7.0,100_101,1.0,-13.554217109976321,9999.0,175.88777115528157,162.75854060106005,14.277692390579098
AeQaR7cklVU_00,278,101,100,538.6919551097826,-0.9151007005533602,2.6611507580660425,-0.8550527371260165,2.6596794243089623,2.5,-3.25,-15.349999999999994,8.0,100_101,7.0,-15.236170753501483,9999.0,155.09588494360364,158.6206810308822,3.014201082088801
AeQaR7cklVU_00,279,101,100,556.760776725516,-1.5707963267948966,2.645070169458205,-0.8960553845713439,2.658543787789281,0.0,-0.5,-16.150000000000006,8.75,100_101,1.0,-18.06882161573344,9999.0,118.44864277409143,156.33646956304074,18.611421224613668
AeQaR7cklVU_00,280,101,100,575.1988982082632,-1.5707963267948966,2.662169654326798,-0.9827937232473289,2.658806105119117,0.0,-1.25,-16.349999999999994,8.5,100_101,1.0,-18.438121482747192,9999.0,117.46891445927322,151.35169915903768,19.036412477144946
AeQaR7cklVU_00,281,101,100,595.6170959601478,1.5707963267948966,2.6704263892766837,-0.9670469933974601,2.6596840876285315,0.0,0.25,-18.55000000000001,9.449999999999989,100_101,1.0,-20.418197751884577,9999.0,63.00416160591342,152.20361562829208,20.706098135573495
AeQaR7cklVU_00,282,101,100,616.9832574713839,-1.126377116893802,2.630109224612809,-0.9855792313633375,2.6581302083052925,0.5,-1.0500000000000114,-18.349999999999994,10.300000000000011,100_101,1.0,-21.3661615112361,9999.0,144.76918683313198,151.23082733500945,22.003295207763774
AeQaR7cklVU_00,261,104,100,195.2525608026691,2.6216248468412644,0.0,2.6543891930078676,0.0,-13.099999999999994,7.5,,,100_104,,0.0,9999.0,150.2080391906353,152.0852979444873,0.0
AeQaR7cklVU_00,262,104,100,202.35365699685292,2.618803568209391,2.6418433554418774,2.6442499372429706,2.6418433554418774,-14.75,8.5,-8.699999999999989,4.75,100_104,1.0,-7.10109619418381,9999.0,1.320082569300879,0.1378869802556331,7.117935093831647
AeQaR7cklVU_00,263,104,100,210.0168148030057,2.6909313275091593,2.680286960682217,2.654693421778524,2.6607053733944572,-15.5,7.5,-8.550000000000011,4.25,100_104,1.0,-7.663157806152782,9999.0,0.6098772947728509,0.3444594542298249,7.672352963726307
AeQaR7cklVU_00,264,104,100,220.26473276491632,2.6382925609118835,2.7403638545849445,2.651421129052927,2.6858188976130877,-16.80000000000001,9.25,-8.25,3.5,100_104,1.0,-10.247917961910616,9999.0,5.84825433690678,1.9708469631649985,10.303640133467404
AeQaR7cklVU_00,265,104,100,228.88258998884123,2.677945044588987,2.718738727456852,2.6559068497929204,2.6949888485839844,-17.5,8.75,-10.0,4.5,100_104,1.0,-8.617857223924915,9999.0,2.337305859123809,2.2392335856633525,8.620469824783333
