video_name,frame_idx,track_A,track_B,distance,dir_A,dir_B,traj_dir_A,traj_dir_B,dx_A,dy_A,dx_B,dy_B,pair,dframes,approach_speed,ttc,relative_angle,trajectory_angle_diff,v_rel
g9P2Y9bwPQQ_00,75,14,10,986.685993617017,0.0,-2.0899424410414196,0.0,2.677945044588987,,,-1.0,-1.75,10_14,,0.0,9999.0,119.74488129694222,153.434948822922,0.0
g9P2Y9bwPQQ_00,78,14,10,987.2064437087108,3.141592653589793,-1.5707963267948966,3.141592653589793,2.7118303744931045,-0.5,0.0,0.0,-0.25,10_14,3.0,-0.17348336389795804,9999.0,90.00000000000001,24.623564786163627,0.18633899812498247
g9P2Y9bwPQQ_00,81,14,10,986.278358274174,0.0,1.5707963267948966,3.141592653589793,2.5535900500422253,0.0,0.0,0.0,1.25,10_14,3.0,0.30936181151226566,3188.106358224728,90.0,33.6900675259798,0.4166666666666667
g9P2Y9bwPQQ_00,84,14,10,984.5675446611066,0.0,2.896613990462929,3.141592653589793,2.6292031932790554,0.0,0.0,-2.0,0.5,10_14,3.0,0.5702712043558146,1726.4900228888223,165.96375653207352,29.357753542791283,0.6871842709362768
g9P2Y9bwPQQ_00,87,14,10,982.7838012503055,0.0,2.1587989303424644,3.141592653589793,2.5535900500422253,0.0,0.0,-1.0,1.5,10_14,3.0,0.594581136933698,1652.9010764091836,123.6900675259798,33.6900675259798,0.6009252125773316
g9P2Y9bwPQQ_00,90,14,10,978.1391772135497,0.0,2.0344439357957027,0.0,2.403777593469328,0.5,0.0,-2.0,4.0,10_14,3.0,1.548208012251924,631.7879570916386,116.56505117707799,137.72631099390625,1.5723301886761005
g9P2Y9bwPQQ_00,93,14,10,978.8453657243314,3.141592653589793,-1.5707963267948966,3.141592653589793,2.429235055495464,-0.5,0.0,0.0,-0.5,10_14,3.0,-0.23539617026055262,9999.0,90.00000000000001,40.81508387488159,0.23570226039551587
g9P2Y9bwPQQ_00,96,14,10,978.2517518512298,0.0,1.5707963267948966,3.141592653589793,2.3890465162753642,0.0,0.0,0.0,0.8000000000000114,10_14,3.0,0.19787129103387238,4943.8791587192345,90.0,43.117717556989284,0.26666666666667044
g9P2Y9bwPQQ_00,99,14,10,977.4693089811055,0.0,-2.8501358591119157,0.0,2.4468543773930898,0.5,0.0,-1.0,-0.30000000000001137,10_14,3.0,0.2608142900414047,3747.7597904084573,163.30075576600578,140.1944289077348,0.5099019513592792
g9P2Y9bwPQQ_00,102,14,10,978.1754699439156,3.141592653589793,-1.5707963267948966,3.141592653589793,2.4719537079131557,-0.5,0.0,0.0,-0.5,10_14,3.0,-0.23538698760334378,9999.0,90.00000000000001,38.367485384861524,0.23570226039551587
g9P2Y9bwPQQ_00,105,14,10,979.5877959631796,0.0,-0.7853981633974483,3.141592653589793,2.483704048407583,0.0,0.0,1.0,-1.0,10_14,3.0,-0.4707753397546715,9999.0,45.0,37.69424046668916,0.47140452079103173
g9P2Y9bwPQQ_00,108,14,10,978.5103474159075,3.141592653589793,2.356194490192345,3.141592653589793,2.4848909914703587,-0.5,0.0,-1.0,1.0,10_14,3.0,0.3591495157573566,2724.520859654993,45.0,37.62623363866979,0.37267799624996495
g9P2Y9bwPQQ_00,111,14,10,978.7697839635222,0.0,-1.5707963267948966,3.141592653589793,2.530866689200585,0.5,0.0,0.0,-0.8000000000000114,10_14,3.0,-0.08647884920488498,9999.0,90.0,34.99202019855862,0.31446603773522336
g9P2Y9bwPQQ_00,114,14,10,978.3611615860474,0.0,1.5707963267948966,3.141592653589793,2.498091544796509,0.0,0.0,0.0,0.5500000000000114,10_14,3.0,0.13620745915826168,7182.875061557925,90.0,36.869897645844006,0.18333333333333712
g9P2Y9bwPQQ_00,117,14,10,977.8041726235372,0.0,1.5707963267948966,3.141592653589793,2.5308666892005847,0.0,0.0,0.0,0.75,10_14,3.0,0.18566298750340593,5266.554124610322,90.0,34.99202019855865,0.25
g9P2Y9bwPQQ_00,120,14,10,977.4329900305187,0.0,1.5707963267948966,3.141592653589793,2.3291740410050803,0.0,0.0,0.0,0.5,10_14,3.0,0.12372753100616289,7899.882767254384,90.0,46.54815769897795,0.16666666666666666
g9P2Y9bwPQQ_00,123,14,10,977.2474417976238,0.0,1.5707963267948966,3.141592653589793,2.405335224608365,0.0,0.0,0.0,0.25,10_14,3.0,0.06184941096497217,15800.432478671117,90.0,42.18444331578878,0.08333333333333333
g9P2Y9bwPQQ_00,126,14,10,977.0619222956137,0.0,1.5707963267948966,3.141592653589793,2.482282585256936,0.0,0.0,0.0,0.25,10_14,3.0,0.06183983400334606,15799.879447327532,90.0,37.77568430595462,0.08333333333333333
g9P2Y9bwPQQ_00,165,18,10,1036.398227034377,0.0,-1.5707963267948966,0.0,1.849095985800008,,,0.0,-0.6999999999999886,10_18,,0.0,9999.0,90.0,105.94539590092286,0.0
g9P2Y9bwPQQ_00,168,18,10,1036.398227034377,0.0,0.0,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,10_18,3.0,-0.0,9999.0,0.0,90.0,0.0
g9P2Y9bwPQQ_00,171,18,10,1036.0481275018067,0.0,-1.5707963267948966,0.0,1.5707963267948966,0.0,0.0,0.0,-1.25,10_18,3.0,0.11669984419010386,8877.887838599732,90.0,90.0,0.4166666666666667
g9P2Y9bwPQQ_00,174,18,10,1035.0041316342656,1.5707963267948966,-2.896613990462929,1.5707963267948966,2.2455372690184494,0.0,0.05000000000000426,-1.0,-0.25,10_18,3.0,0.34799862251369024,2974.161576152643,104.0362434679265,38.659808254090095,0.3480102169636854
g9P2Y9bwPQQ_00,177,18,10,1036.0341524293492,0.0,0.24497866312686417,1.5707963267948966,1.5707963267948966,0.0,0.0,1.0,0.25,10_18,3.0,-0.343340265027867,9999.0,14.036243467926484,0.0,0.3435921354681384
g9P2Y9bwPQQ_00,180,18,10,1035.4946474994451,0.0,2.1587989303424644,1.5707963267948966,2.0899424410414196,0.0,0.0,-1.0,1.5,10_18,3.0,0.17983497663468975,5758.026980496188,123.6900675259798,29.74488129694223,0.6009252125773316
g9P2Y9bwPQQ_00,183,18,10,1035.7057026491648,0.0,1.5707963267948966,1.5707963267948966,1.9890206563741257,0.0,0.0,0.0,0.75,10_18,3.0,-0.07035171657321371,9999.0,90.0,23.962488974578193,0.25
g9P2Y9bwPQQ_00,186,18,10,1035.7197907735472,-1.5707963267948966,0.0,0.0,2.0344439357957027,0.0,-0.05000000000000426,0.0,0.0,10_18,3.0,-0.004696041460798976,9999.0,90.0,116.56505117707799,0.01666666666666809
g9P2Y9bwPQQ_00,234,18,10,1047.0344132357827,2.9441970937399233,0.0,2.7610862764774233,-0.04542327942157702,-0.25,0.04999999999999716,1.0,0.0,10_18,48.0,-0.2357213012965739,9999.0,168.69006752598042,160.8011527161477,0.02606249167332667
g9P2Y9bwPQQ_00,237,18,10,1046.909757333458,-1.5707963267948966,-1.5707963267948966,2.944197093739896,-0.09065988720074512,0.0,-0.04999999999999716,0.0,-0.5,10_18,3.0,0.04155196744159184,25195.191029283094,0.0,173.88449643371362,0.15000000000000094
g9P2Y9bwPQQ_00,240,18,10,1046.8959177014685,1.5707963267948966,0.0,2.7610862764774233,0.022723360841641067,0.0,0.04999999999999716,0.0,0.0,10_18,3.0,0.004613210663137579,226934.34012602497,90.0,156.89663784106904,0.01666666666666572
g9P2Y9bwPQQ_00,243,18,10,1047.6221694866904,1.5707963267948966,-0.6435011087932845,2.4668517113662336,-0.019228399099707208,0.0,0.10000000000000142,1.0,-0.75,10_18,3.0,-0.24208392840728266,9999.0,126.86989764584402,142.44189786111588,0.43748015828022324
g9P2Y9bwPQQ_00,246,18,10,1047.6221694866904,0.0,0.0,2.4668517113662336,-0.04164257909858843,0.0,0.0,0.0,0.0,10_18,3.0,-0.0,9999.0,0.0,143.72613577629835,0.0
g9P2Y9bwPQQ_00,165,19,10,1067.050882104504,0.0,-1.5707963267948966,0.0,1.849095985800008,,,0.0,-0.6999999999999886,10_19,,0.0,9999.0,90.0,105.94539590092286,0.0
g9P2Y9bwPQQ_00,168,19,10,1067.0397473852602,1.5707963267948966,0.0,1.5707963267948966,1.5707963267948966,0.0,0.05000000000001137,0.0,0.0,10_19,3.0,0.0037115730812426286,287489.89283757197,90.0,0.0,0.016666666666670455
g9P2Y9bwPQQ_00,171,19,10,1066.7621032826391,0.0,-1.5707963267948966,1.5707963267948966,1.5707963267948966,0.0,0.0,0.0,-1.25,10_19,3.0,0.09254803420700834,11526.577656922906,90.0,0.0,0.4166666666666667
g9P2Y9bwPQQ_00,174,19,10,1065.7315668122062,0.0,-2.896613990462929,1.5707963267948966,2.2455372690184494,0.0,0.0,-1.0,-0.25,10_19,3.0,0.3435121568109783,3102.4566254248693,165.96375653207352,38.659808254090095,0.3435921354681384
g9P2Y9bwPQQ_00,177,19,10,1066.6911935982223,1.1071487177939767,0.24497866312686417,1.2490457723981976,1.5707963267948966,0.05000000000001137,0.09999999999999432,1.0,0.25,10_19,3.0,-0.319875595338696,9999.0,49.39870535498901,18.434948822925264,0.32058973436118565
g9P2Y9bwPQQ_00,180,19,10,1066.0495778808788,0.0,2.1587989303424644,1.2490457723981976,2.0899424410414196,0.0,0.0,-1.0,1.5,10_19,3.0,0.21387190578116133,4984.523675454996,123.6900675259798,48.179830119867496,0.6009252125773316
g9P2Y9bwPQQ_00,183,19,10,1066.2170932788501,0.0,1.5707963267948966,1.2490457723981976,1.9890206563741257,0.0,0.0,0.0,0.75,10_19,3.0,-0.05583846599044288,9999.0,90.0,42.39743779750344,0.25
g9P2Y9bwPQQ_00,186,19,10,1066.2394665364811,-1.5707963267948966,0.0,0.7853981633974483,2.0344439357957027,0.0,-0.09999999999999432,0.0,0.0,10_19,3.0,-0.007457752543662839,9999.0,90.0,71.56505117707799,0.03333333333333144
g9P2Y9bwPQQ_00,198,19,10,1066.6164657457712,0.0,-1.2722973952087173,2.1587989303424204,-1.5707963267948966,0.0,0.0,1.0,-3.25,10_19,12.0,-0.03141660077416949,9999.0,72.89727103094764,146.30993247402273,0.2833639689319884
