video_name,frame_idx,track_id,class_id,x1,y1,x2,y2,cx,cy,dx,dy,dframes,velocity,direction,acceleration,direction_change,rolling_dx,rolling_dy,traj_direction,curvature
-VM9fVYVI_w_00,39,19,0,506.5,564.0,560.5,616.0,533.5,590.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
-VM9fVYVI_w_00,40,19,0,514.0,551.0,567.0,603.0,540.5,577.0,7.0,-13.0,1.0,14.7648230602334,-1.0768549578753153,0.0,0.0,7.0,-13.0,-1.0768549578753153,0.0
-VM9fVYVI_w_00,41,19,0,527.0,543.0,575.0,591.0,551.0,567.0,10.5,-10.0,1.0,14.5,-0.7610127542247298,-0.2648230602334003,0.3158422036505855,8.75,-11.5,-0.9203749132513716,0.10528073455019517
-VM9fVYVI_w_00,42,19,0,528.5,532.0,583.5,580.0,556.0,556.0,5.0,-11.0,1.0,12.083045973594572,-1.1441688336680205,-2.4169540264054277,-0.3831560794432908,7.5,-11.333333333333334,-0.9861950706745702,0.23299942769795878
-VM9fVYVI_w_00,43,19,0,544.0,525.0,590.0,569.0,567.0,547.0,11.0,-9.0,1.0,14.212670403551895,-0.6857295109062863,2.129624429957323,0.4584393227617342,8.375,-10.75,-0.9089486528884918,0.3858125352852035
-VM9fVYVI_w_00,44,19,0,551.0,516.0,595.0,558.0,573.0,537.0,6.0,-10.0,1.0,11.661903789690601,-1.0303768265243125,-2.5507666138612937,-0.34464731561802625,7.9,-10.6,-0.9303209273763748,0.39541423927435043
-VM9fVYVI_w_00,45,19,0,557.5,505.5,600.5,547.5,579.0,526.5,6.0,-10.5,1.0,12.093386622447824,-1.0516502125483735,0.4314828327572222,-0.02127338602406103,7.583333333333333,-10.583333333333334,-0.9490587466724048,0.2747866748012738
-VM9fVYVI_w_00,46,19,0,562.0,496.5,606.0,537.5,584.0,517.0,5.0,-9.5,1.0,10.735455276791944,-1.0863183977578734,-1.3579313456558797,-0.03466818520949988,7.214285714285714,-10.428571428571429,-0.9656079154014316,0.13352962895052906
-VM9fVYVI_w_00,47,19,0,568.5,479.5,648.5,528.5,608.5,504.0,24.5,-13.0,1.0,27.735356496717326,-0.4878364386596425,16.999901219925384,0.5984819590982308,9.375,-10.75,-0.8536151302958045,0.21814117677726388
-VM9fVYVI_w_00,51,19,0,594.0,457.2,632.0,494.8,613.0,476.0,4.5,-28.0,4.0,7.0898254562436165,-1.4114446858909797,-5.1613827601184274,-0.9236082472313372,8.833333333333334,-12.666666666666666,-0.9618387071583883,0.5189194638463559
-VM9fVYVI_w_00,52,19,0,601.0,450.2,637.0,487.2,619.0,468.7,6.0,-7.300000000000011,1.0,9.449338601193215,-0.8828330146897051,2.3595131449495987,0.5286116712012746,8.55,-12.13,-0.956813404559688,0.6835672925102809
-VM9fVYVI_w_00,57,19,0,621.5,417.2,657.5,451.8,639.5,434.5,20.5,-34.19999999999999,5.0,7.974684946754948,-1.030806934024672,-0.2949307308876534,-0.14797391933496687,9.636363636363637,-14.136363636363637,-0.9724772137989658,0.5333979459225263
-VM9fVYVI_w_00,71,22,0,416.5,134.0,468.5,177.5,442.5,155.75,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
-VM9fVYVI_w_00,72,22,0,416.5,134.2,468.5,177.2,442.5,155.7,0.0,-0.05000000000001137,1.0,0.05000000000001137,-1.5707963267948966,0.0,0.0,0.0,-0.05000000000001137,-1.5707963267948966,0.0
-VM9fVYVI_w_00,73,22,0,416.5,134.2,468.5,177.2,442.5,155.7,0.0,0.0,1.0,0.0,0.0,-0.05000000000001137,1.5707963267948966,0.0,-0.025000000000005684,-1.5707963267948966,0.5235987755982988
-VM9fVYVI_w_00,74,22,0,416.5,134.2,468.5,177.2,442.5,155.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666670455,-1.5707963267948966,0.5235987755982988
-VM9fVYVI_w_00,75,22,0,416.5,134.2,468.5,176.8,442.5,155.5,0.0,-0.19999999999998863,1.0,0.19999999999998863,-1.5707963267948966,0.19999999999998863,-1.5707963267948966,0.0,-0.0625,-1.5707963267948966,1.0471975511965976
-VM9fVYVI_w_00,76,22,0,416.5,134.4,468.5,176.9,442.5,155.65,0.0,0.15000000000000568,1.0,0.15000000000000568,1.5707963267948966,-0.04999999999998295,3.141592653589793,0.0,-0.019999999999998862,-1.5707963267948966,1.5707963267948966
-VM9fVYVI_w_00,77,22,0,416.5,134.5,468.5,177.0,442.5,155.75,0.0,0.09999999999999432,1.0,0.09999999999999432,1.5707963267948966,-0.05000000000001137,0.0,0.0,0.0,0.0,1.5707963267948966
-VM9fVYVI_w_00,78,22,0,416.5,134.2,468.5,177.2,442.5,155.7,0.0,-0.05000000000001137,1.0,0.05000000000001137,-1.5707963267948966,-0.04999999999998295,-3.141592653589793,0.0,-0.007142857142858767,-1.5707963267948966,2.0943951023931953
-VM9fVYVI_w_00,79,22,0,416.5,134.5,468.5,177.5,442.5,156.0,0.0,0.30000000000001137,1.0,0.30000000000001137,1.5707963267948966,0.25,3.141592653589793,0.0,0.03125,1.5707963267948966,2.0943951023931953
-VM9fVYVI_w_00,80,22,0,416.5,133.6,469.0,177.4,442.75,155.5,0.25,-0.5,1.0,0.5590169943749475,-1.1071487177940904,0.2590169943749361,-2.677945044588987,0.027777777777777776,-0.027777777777777776,-0.7853981633974483,2.9870434505895247
-VM9fVYVI_w_00,81,22,0,416.5,133.4,469.0,177.4,442.75,155.4,0.0,-0.09999999999999432,1.0,0.09999999999999432,-1.5707963267948966,-0.45901699437495314,-0.4636476090008062,0.025,-0.034999999999999434,-0.9505468408120674,2.0943951023931953
-VM9fVYVI_w_00,82,22,0,416.5,133.2,469.0,177.2,442.75,155.2,0.0,-0.20000000000001705,1.0,0.20000000000001705,-1.5707963267948966,0.10000000000002274,0.0,0.022727272727272728,-0.05000000000000104,-1.1441688336680282,1.0471975511965976
-VM9fVYVI_w_00,83,22,0,417.0,133.2,469.0,177.2,443.0,155.2,0.25,0.0,1.0,0.25,0.0,0.04999999999998295,1.5707963267948966,0.041666666666666664,-0.04583333333333428,-0.832981266674442,0.6781479785985676
-VM9fVYVI_w_00,84,22,0,416.5,134.2,468.5,177.2,442.5,155.7,-0.5,0.5,1.0,0.7071067811865476,2.356194490192345,0.4571067811865476,2.356194490192345,0.0,-0.0038461538461547207,-1.5707963267948966,1.3089969389957472
-VM9fVYVI_w_00,85,22,0,416.0,133.0,469.0,177.2,442.5,155.1,0.0,-0.5999999999999943,1.0,0.5999999999999943,-1.5707963267948966,-0.10710678118655326,2.356194490192345,0.0,-0.04642857142857183,-1.5707963267948966,2.0943951023931953
-VM9fVYVI_w_00,91,22,0,415.5,134.2,469.5,177.2,442.5,155.7,0.0,0.5999999999999943,6.0,0.09999999999999905,1.5707963267948966,-0.08333333333333255,3.141592653589793,0.0,-0.003333333333334091,-1.5707963267948966,2.6179938779914944
-VM9fVYVI_w_00,110,25,0,881.0,100.1,960.0,138.1,920.5,119.1,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
-VM9fVYVI_w_00,111,25,0,882.0,100.1,960.0,138.1,921.0,119.1,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
-VM9fVYVI_w_00,112,25,0,881.0,100.6,960.0,137.9,920.5,119.25,-0.5,0.15000000000000568,1.0,0.5220153254455291,2.8501358591119157,0.022015325445529088,2.8501358591119157,0.0,0.07500000000000284,1.5707963267948966,0.9500452863706386
-VM9fVYVI_w_00,113,25,0,881.0,100.9,959.0,138.1,920.0,119.5,-0.5,0.25,1.0,0.5590169943749475,2.677945044588987,0.03700166892941836,-0.17219081452292875,-0.16666666666666666,0.13333333333333522,2.4668517113662336,1.0074422245449481
-VM9fVYVI_w_00,114,25,0,880.5,100.8,959.5,136.9,920.0,118.85,0.0,-0.6500000000000057,1.0,0.6500000000000057,-1.5707963267948966,0.09098300562505823,2.0344439357957027,-0.125,-0.0625,-2.677945044588987,1.6855902031435157
-VM9fVYVI_w_00,115,25,0,881.0,100.6,960.0,137.6,920.5,119.1,0.5,0.25,1.0,0.5590169943749475,0.46364760900080615,-0.09098300562505823,2.0344439357957027,0.0,0.0,0.0,1.4136928953714447
-VM9fVYVI_w_00,116,25,0,882.0,100.5,960.0,137.8,921.0,119.15,0.5,0.05000000000001137,1.0,0.5024937810560456,0.09966865249118455,-0.056523213318901866,-0.3639789565096217,0.08333333333333333,0.008333333333335228,0.09966865249118455,1.477622276033676
-VM9fVYVI_w_00,117,25,0,881.0,100.1,960.0,137.9,920.5,119.0,-0.5,-0.15000000000000568,1.0,0.5220153254455291,-2.8501358591119157,0.019521544389483503,-2.9498045116031,0.0,-0.014285714285713473,-1.5707963267948966,1.7827424679694748
-VM9fVYVI_w_00,119,25,0,882.0,100.0,960.0,138.1,921.0,119.05,0.5,0.04999999999999716,2.0,0.2512468905280221,0.0996686524911564,-0.13538421745875348,2.949804511603072,0.0625,-0.006249999999999645,-0.0996686524911564,2.0878626599052645
-VM9fVYVI_w_00,138,29,1,351.0,608.0,484.0,719.0,417.5,663.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
-VM9fVYVI_w_00,139,29,1,363.8,592.0,498.2,720.0,431.0,656.0,13.5,-7.5,1.0,15.443445211480501,-0.507098504392337,0.0,0.0,13.5,-7.5,-0.507098504392337,0.0
-VM9fVYVI_w_00,140,29,1,363.5,575.0,521.5,720.0,442.5,647.5,11.5,-8.5,1.0,14.300349646075091,-0.636508215787951,-1.1430955654054102,-0.12940971139561414,12.5,-8.0,-0.5693131911006619,0.043136570465204714
-VM9fVYVI_w_00,141,29,1,329.0,581.5,516.5,720.0,422.75,650.75,-19.75,3.25,1.0,20.015618901248097,2.9784973613795525,5.7152692551730055,-2.6681797300120826,1.75,-4.25,-1.1801892830972098,0.9325298138025656
-VM9fVYVI_w_00,142,29,1,333.5,579.0,527.0,720.0,430.25,649.5,7.5,-1.25,1.0,7.603453162872775,-0.16514867741462683,-12.412165738375322,3.139539268385407,3.1875,-3.5,-0.8320931674407787,1.979042903264368
-VM9fVYVI_w_00,143,29,1,340.5,568.0,534.5,720.0,437.5,644.0,7.25,-5.5,1.0,9.100137361600648,-0.6489955589965009,1.4966841987278734,-0.4838468815818741,4.0,-3.9,-0.7727406115633964,2.0971886266597877
-VM9fVYVI_w_00,144,29,1,352.5,551.0,548.0,720.0,450.25,635.5,12.75,-8.5,1.0,15.323592920721955,-0.5880026035475676,6.223455559121307,0.06099295544893324,5.458333333333333,-4.666666666666667,-0.7073676195512938,1.2281263684720714
-VM9fVYVI_w_00,145,29,1,361.5,534.0,558.0,716.0,459.75,625.0,9.5,-10.5,1.0,14.159802258506296,-0.835356559119391,-1.1637906622156589,-0.24735395557182338,6.035714285714286,-5.5,-0.7389918762880058,0.26406459753421024
-VM9fVYVI_w_00,146,29,1,376.5,526.0,566.5,708.0,471.5,617.0,11.75,-8.0,1.0,14.2148689758295,-0.5977583915930821,0.05506671732320356,0.23759816752630894,6.75,-5.8125,-0.7109093731835666,0.18198169284902185
-VM9fVYVI_w_00,151,33,1,454.0,454.0,619.0,610.0,536.5,532.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
-VM9fVYVI_w_00,151,25,0,917.0,101.0,960.0,138.2,938.5,119.6,17.5,0.5499999999999972,32.0,0.5471450226231159,0.03141822964637579,0.009246816627971681,-0.06825042284478063,2.0,0.05555555555555555,0.027770636593421036,1.9892864820169842
-VM9fVYVI_w_00,152,33,1,461.5,446.5,636.5,611.5,549.0,529.0,12.5,-3.0,1.0,12.854960132182441,-0.23554498072086336,0.0,0.0,12.5,-3.0,-0.23554498072086336,0.0
-VM9fVYVI_w_00,152,25,0,918.0,100.9,960.0,138.5,939.0,119.7,0.5,0.10000000000000853,1.0,0.5099019513592802,0.19739555984989715,-0.03724307126383575,0.16597733020352137,1.85,0.06000000000000085,0.03242106811542969,1.0613440882171248
-VM9fVYVI_w_00,153,33,1,469.8,437.0,632.0,605.0,550.9,521.0,1.8999999999999773,-8.0,1.0,8.22253002426868,-1.3376165261480828,-4.632430107913761,-1.1020715454272194,7.199999999999989,-5.5,-0.6523309013888922,0.3673571818090731
-VM9fVYVI_w_00,153,25,0,917.0,100.9,960.0,138.1,938.5,119.5,-0.5,-0.20000000000000284,1.0,0.5385164807134515,-2.7610862764774233,0.028614529354171303,-2.9584818363273206,1.6363636363636365,0.03636363636363688,0.022218565326719376,1.0642365297918743
-VM9fVYVI_w_00,154,25,0,917.0,100.5,960.0,139.0,938.5,119.75,0.0,0.25,1.0,0.25,1.5707963267948966,-0.2885164807134515,-1.951302703907267,1.5,0.05416666666666714,0.03609542693579709,1.6919206234793698
-VM9fVYVI_w_00,155,25,0,917.0,100.5,960.0,139.0,938.5,119.75,0.0,0.0,1.0,0.0,0.0,-0.25,-1.5707963267948966,1.3846153846153846,0.05000000000000044,0.03609542693579709,2.1601936223431615
-VM9fVYVI_w_00,157,33,1,467.0,414.0,653.0,580.0,560.0,497.0,9.100000000000023,-24.0,4.0,6.416823591154741,-1.2083777018899837,-0.4514266082784848,0.12923882425809913,7.833333333333333,-11.666666666666666,-0.979504261427775,0.4104367898951062
-VM9fVYVI_w_00,158,33,1,495.0,406.5,659.0,569.5,577.0,488.0,17.0,-9.0,1.0,19.235384061671343,-0.48689923181126904,12.818560470516601,0.7214784700787146,10.125,-11.0,-0.8267946189469823,0.6509296132546777
-VM9fVYVI_w_00,159,33,1,484.5,398.5,665.5,561.5,575.0,480.0,-2.0,-8.0,1.0,8.246211251235321,-1.8157749899217608,-10.989172810436022,-1.3288757581104917,7.7,-10.4,-0.9334775194525166,0.7265310174824352
-VM9fVYVI_w_00,160,33,1,510.2,395.5,670.0,549.0,590.1,472.25,15.100000000000023,-7.75,1.0,16.972698665798575,-0.4741874031577363,8.726487414563254,1.3415875867640246,8.933333333333337,-9.958333333333334,-0.839601744008407,1.1306472716510771
-VM9fVYVI_w_00,160,29,1,522.0,396.0,670.0,539.0,596.0,467.5,124.5,-149.5,14.0,13.896574970774896,-0.876387106196715,-0.022735286075328837,-0.2786287146036329,19.833333333333332,-21.77777777777778,-0.8320931674407787,0.2545269459005884
-VM9fVYVI_w_00,161,33,1,486.8,389.0,675.0,528.0,580.9,458.5,-9.200000000000045,-13.75,1.0,16.543956600523373,-2.1604753747065537,-0.42874206527520187,-1.6862879715488175,6.34285714285714,-10.5,-1.0273810296147905,1.452250438807778
-VM9fVYVI_w_00,162,33,1,496.0,383.0,679.0,519.0,587.5,451.0,6.600000000000023,-7.5,1.0,9.990495483208043,-0.8491414759301337,-6.553461117315329,1.3113338987764198,6.375,-10.125,-1.0088747645380813,1.4464031523630874
-VM9fVYVI_w_00,163,33,1,516.0,378.0,682.0,510.0,599.0,444.0,11.5,-7.0,1.0,13.46291201783626,-0.5467888408892474,3.4724165346282163,0.3023526350408863,6.944444444444445,-9.777777777777779,-0.9532393491143508,1.0999915017887079
-VM9fVYVI_w_00,164,33,1,509.5,373.5,684.5,509.5,597.0,441.5,-2.0,-2.5,1.0,3.2015621187164243,-2.2455372690184494,-10.261349899119836,-1.698748428129202,6.05,-9.05,-0.98151983858609,1.1041449873155027
-VM9fVYVI_w_00,165,33,1,521.0,367.0,687.0,531.0,604.0,449.0,7.0,7.5,1.0,10.259142264341596,0.8198672643969562,7.057580145625172,3.0654045334154056,6.136363636363637,-7.545454545454546,-0.8880263600264859,1.6888351988618313
-VM9fVYVI_w_00,166,33,1,544.5,365.2,691.5,487.2,618.0,426.2,14.0,-22.80000000000001,1.0,26.75518641310504,-1.0201207758826456,16.496044148763445,-1.8399880402796018,6.791666666666667,-8.816666666666668,-0.9144158942323596,2.2013803339414033
-VM9fVYVI_w_00,167,33,1,602.0,360.5,694.0,477.5,648.0,419.0,30.0,-7.199999999999989,1.0,30.851904317237857,-0.235544980720863,4.096717904132817,0.7845757951617828,8.576923076923077,-8.692307692307692,-0.7920795784499204,1.8966561229522636
