video_name,frame_idx,track_id,class_id,x1,y1,x2,y2,cx,cy,dx,dy,dframes,velocity,direction,acceleration,direction_change,rolling_dx,rolling_dy,traj_direction,curvature
9j0swlmm6eg_00,0,5,0,9.00000097665368,10.799999749999998,209.79999902334637,62.20000025,109.40000000000003,36.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
9j0swlmm6eg_00,0,4,0,373.50000015795206,17.099999750000002,402.499999842048,63.00000024999999,388.0,40.05,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
9j0swlmm6eg_00,0,3,0,1040.000000194954,16.199999750000003,1073.999999805046,59.80000025,1057.0,38.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
9j0swlmm6eg_00,0,2,0,280.0000004312016,15.599999749999998,368.9999995687984,67.20000025,324.5,41.4,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
9j0swlmm6eg_00,0,1,0,1092.0000006893542,11.49999975,1249.9999993106458,68.80000025,1171.0,40.15,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
9j0swlmm6eg_00,1,6,0,968.000000577342,14.599999750000002,1073.999999422658,60.50000024999999,1021.0,37.55,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
9j0swlmm6eg_00,1,5,0,8.8,10.9,209.8,62.4,109.30000000000001,36.65,-0.10000000000002274,0.14999999999999858,1.0,0.18027756377321089,2.1587989303425736,0.0,0.0,-0.10000000000002274,0.14999999999999858,2.1587989303425736,0.0
9j0swlmm6eg_00,1,4,0,373.5,17.1,402.5,63.1,388.0,40.1,0.0,0.05000000000000426,1.0,0.05000000000000426,1.5707963267948966,0.0,0.0,0.0,0.05000000000000426,1.5707963267948966,0.0
9j0swlmm6eg_00,1,3,0,1040.0,16.1,1074.0,59.8,1057.0,37.95,0.0,-0.04999999999999716,1.0,0.04999999999999716,-1.5707963267948966,0.0,0.0,0.0,-0.04999999999999716,-1.5707963267948966,0.0
9j0swlmm6eg_00,1,2,0,279.8,15.6,368.8,67.2,324.3,41.4,-0.19999999999998863,0.0,1.0,0.19999999999998863,3.141592653589793,0.0,0.0,-0.19999999999998863,0.0,3.141592653589793,0.0
9j0swlmm6eg_00,1,1,0,1092.0,11.5,1250.0,68.8,1171.0,40.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9j0swlmm6eg_00,2,5,0,8.8,10.9,209.5,62.2,109.15,36.550000000000004,-0.15000000000000568,-0.09999999999999432,1.0,0.18027756377320103,-2.5535900500422692,-9.853229343548264e-15,1.570796326794744,-0.1250000000000142,0.02500000000000213,2.944197093739918,0.523598775598248
9j0swlmm6eg_00,2,4,0,373.5,17.2,402.5,63.1,388.0,40.15,0.0,0.04999999999999716,1.0,0.04999999999999716,1.5707963267948966,-7.105427357601002e-15,0.0,0.0,0.05000000000000071,1.5707963267948966,0.0
9j0swlmm6eg_00,2,3,0,1040.0,16.1,1074.0,59.9,1057.0,38.0,0.0,0.04999999999999716,1.0,0.04999999999999716,1.5707963267948966,0.0,3.141592653589793,0.0,0.0,0.0,1.0471975511965976
9j0swlmm6eg_00,2,2,0,280.0,15.6,369.0,67.2,324.5,41.4,0.19999999999998863,0.0,1.0,0.19999999999998863,0.0,0.0,-3.141592653589793,0.0,0.0,0.0,1.0471975511965976
9j0swlmm6eg_00,2,1,0,1092.0,11.5,1252.0,68.8,1172.0,40.15,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
9j0swlmm6eg_00,3,5,0,8.9,10.9,209.6,62.3,109.25,36.6,0.09999999999999432,0.04999999999999716,1.0,0.11180339887498314,0.46364760900080615,-0.06847416489821789,3.0172376590430754,-0.05000000000001137,0.033333333333333805,2.553590050042324,1.5293446619459399
