video_name,frame_idx,track_id,class_id,x1,y1,x2,y2,cx,cy,dx,dy,dframes,velocity,direction,acceleration,direction_change,rolling_dx,rolling_dy,traj_direction,curvature
T636miXHz3U_00,0,21,0,475.5000003834356,99.19999975,525.4999996165644,131.80000025,500.5,115.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,20,0,845.0000002222222,575.99999975,1036.9999997777777,792.00000025,941.0,684.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,18,0,406.0000002773279,394.49999975,542.9999997226721,518.00000025,474.5,456.25,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,17,0,421.00000018639577,216.99999975,526.4999998136043,358.50000025,473.75,287.75,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,16,0,496.80000025625,164.99999975,586.99999974375,253.00000025,541.9,209.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,15,0,669.0000002830941,218.49999975,739.9999997169059,281.20000025,704.5,249.85000000000002,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,14,0,754.000000288,498.99999975,897.999999712,624.00000025,826.0,561.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,13,0,475.50000029481134,57.99999975000001,512.9999997051887,89.80000025000001,494.25,73.9,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,12,0,929.5000003235294,127.99999975,984.4999996764706,170.50000025,957.0,149.25,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,11,0,391.2000002142857,18.09999975,418.1999997857143,49.60000025,404.7,33.85,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,10,1,997.00000034375,855.99999975,1304.99999965625,1080.00000025,1151.0,968.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,8,0,391.8000002129032,18.39999975,418.1999997870968,49.40000025,405.0,33.9,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,7,0,346.5000003625,34.19999975,375.4999996375,54.20000025,361.0,44.2,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,5,0,334.50000028785985,238.59999975,426.49999971214015,318.50000025,380.5,278.55,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,4,0,1038.0000002977777,854.99999975,1305.9999997022223,1080.00000025,1172.0,967.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,3,0,353.80000031012656,95.49999975,402.7999996898735,135.00000025,378.30000000000007,115.25,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,2,0,546.0000003133159,106.19999975,593.9999996866841,144.50000025,570.0,125.35,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,0,1,0,350.0000002230971,44.09999975000001,383.9999997769029,82.20000025,367.0,63.150000000000006,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,2,26,0,459.0000002589641,42.69999975,484.9999997410359,67.80000025,472.0,55.25,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,2,24,0,577.5000003148148,250.99999975,662.4999996851852,318.50000025,620.0,284.75,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,2,23,0,419.0000001877256,210.99999975,522.9999998122744,349.50000025,471.0,280.25,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,2,22,0,602.0000002300824,129.09999975,668.9999997699176,201.90000025,635.5,165.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
T636miXHz3U_00,2,21,0,477.5,96.6,525.0,131.4,501.25,114.0,0.75,-1.5,2.0,0.8385254915624212,-1.1071487177940904,0.0,0.0,0.75,-1.5,-1.1071487177940904,0.0
T636miXHz3U_00,2,17,0,419.5,211.8,523.0,350.2,471.25,281.0,-2.5,-6.75,2.0,3.599045012221992,-1.925501978805837,0.0,0.0,-2.5,-6.75,-1.925501978805837,0.0
T636miXHz3U_00,2,16,0,499.8,163.8,584.0,249.2,541.9,206.5,0.0,-2.5,2.0,1.25,-1.5707963267948966,0.0,0.0,0.0,-2.5,-1.5707963267948966,0.0
T636miXHz3U_00,2,15,0,665.0,216.0,736.0,278.5,700.5,247.25,-4.0,-2.6000000000000227,2.0,2.385372088375319,-2.5652174329986055,0.0,0.0,-4.0,-2.6000000000000227,-2.5652174329986055,0.0
T636miXHz3U_00,2,14,0,747.0,491.2,890.0,613.0,818.5,552.1,-7.5,-9.399999999999977,2.0,6.012694903285871,-2.244238568449889,0.0,0.0,-7.5,-9.399999999999977,-2.244238568449889,0.0
T636miXHz3U_00,2,13,0,476.0,57.8,512.5,88.9,494.25,73.35,0.0,-0.5500000000000114,2.0,0.2750000000000057,-1.5707963267948966,0.0,0.0,0.0,-0.5500000000000114,-1.5707963267948966,0.0
T636miXHz3U_00,2,12,0,928.0,127.2,984.0,169.5,956.0,148.35,-1.0,-0.9000000000000057,2.0,0.6726812023536874,-2.4087775518032832,0.0,0.0,-1.0,-0.9000000000000057,-2.4087775518032832,0.0
