video_name,frame_idx,track_id,class_id,x1,y1,x2,y2,cx,cy,dx,dy,dframes,velocity,direction,acceleration,direction_change,rolling_dx,rolling_dy,traj_direction,curvature
TqwcLiIQq3A_3_00,304,41,0,227.9,80.0,294.0,128.2,260.95,104.1,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
TqwcLiIQq3A_3_00,305,41,0,219.5,79.5,283.0,125.0,251.25,102.25,-9.699999999999989,-1.8499999999999943,1.0,9.874841770884219,-2.9531342937181586,0.0,0.0,-9.699999999999989,-1.8499999999999943,-2.9531342937181586,0.0
TqwcLiIQq3A_3_00,306,41,0,214.0,78.9,276.8,123.1,245.4,101.0,-5.849999999999994,-1.25,1.0,5.982056502575007,-2.931083091462437,-3.8927852683092112,0.02205120225572177,-7.7749999999999915,-1.5499999999999972,-2.94481552285093,0.007350400751907256
TqwcLiIQq3A_3_00,307,41,0,206.8,77.6,266.2,120.6,236.5,99.1,-8.900000000000006,-1.9000000000000057,1.0,9.100549433962772,-2.931266779924735,3.118492931387765,-0.00018368846229810387,-8.149999999999997,-1.6666666666666667,-2.939874920261625,0.007411630239339957
TqwcLiIQq3A_3_00,308,41,0,201.5,75.2,259.8,118.8,230.65,97.0,-5.849999999999994,-2.0999999999999943,1.0,6.215504806530191,-2.7969453379717675,-2.885044627432581,0.1343214419529675,-7.574999999999996,-1.7749999999999986,-2.9114219493358364,0.052185444223662454
TqwcLiIQq3A_3_00,309,41,0,194.8,74.0,250.8,116.0,222.8,95.0,-7.849999999999994,-2.0,1.0,8.100771568190275,-2.892123002691968,1.885266761660084,-0.09517766472020076,-7.6299999999999955,-1.819999999999999,-2.9074360787799924,0.07656093171182211
TqwcLiIQq3A_3_00,310,41,0,188.5,72.6,242.0,113.4,215.25,93.0,-7.550000000000011,-2.0,1.0,7.810409720366798,-2.8826397448825656,-0.29036184782347707,0.00948325780940262,-7.6166666666666645,-1.849999999999999,-2.9033183768586466,0.07966078816085696
TqwcLiIQq3A_3_00,311,41,0,184.2,72.2,236.2,112.0,210.2,92.1,-5.050000000000011,-0.9000000000000057,1.0,5.12957113217081,-2.9652264979861203,-2.6808385881959884,-0.08258675310355469,-7.25,-1.7142857142857142,-2.9094039906781286,0.062415891877719364
TqwcLiIQq3A_3_00,312,41,0,177.2,71.2,228.2,109.8,202.7,90.5,-7.5,-1.5999999999999943,1.0,7.6687678280151355,-2.9314100669276244,2.5391966958443257,0.03381643105849585,-7.28125,-1.6999999999999993,-2.9122250498301008,0.04196214732381772
TqwcLiIQq3A_3_00,313,41,0,173.5,69.6,222.5,108.2,198.0,88.9,-4.699999999999989,-1.5999999999999943,1.0,4.964876634922551,-2.813472758574488,-2.703891193092584,0.11793730835313634,-6.994444444444444,-1.6888888888888876,-2.904666250882114,0.07811349750506229
