video_name,frame_idx,track_id,class_id,x1,y1,x2,y2,cx,cy,dx,dy,dframes,velocity,direction,acceleration,direction_change,rolling_dx,rolling_dy,traj_direction,curvature
UarP8qU1S-c_00,87,1,1,1788.0000005689656,479.99999975,2051.9999994310347,596.00000025,1920.0,538.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
UarP8qU1S-c_00,93,2,0,1664.0000004421488,551.99999975,1877.9999995578512,673.00000025,1771.0,612.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
UarP8qU1S-c_00,107,6,1,2164.0,323.0,2452.0,532.0,2308.0,427.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
UarP8qU1S-c_00,107,5,3,2436.0,685.0,2608.0,789.0,2522.0,737.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
UarP8qU1S-c_00,108,5,3,2488.0,678.5,2624.0,773.5,2556.0,726.0,34.0,-11.0,1.0,35.73513677041127,-0.3129012278803845,0.0,0.0,34.0,-11.0,-0.3129012278803845,0.0
UarP8qU1S-c_00,112,6,1,2088.0,420.0,2240.0,567.0,2164.0,493.5,-144.0,66.0,5.0,31.680909077865806,2.7118303744931045,0.0,0.0,-144.0,66.0,2.7118303744931045,0.0
UarP8qU1S-c_00,116,6,1,1932.0,471.5,2132.0,606.5,2032.0,539.0,-132.0,45.5,4.0,34.90545265427738,2.809649926648759,0.8061358941028942,0.09781955215565444,-138.0,55.75,2.7576552231912457,0.032606517385218144
UarP8qU1S-c_00,117,6,1,1920.0,485.0,2110.0,623.0,2015.0,554.0,-17.0,15.0,1.0,22.67156809750927,2.4186133001883023,-12.233884556768114,-0.39103662646045667,-97.66666666666667,42.166666666666664,2.7340265268382287,0.1629520595387037
UarP8qU1S-c_00,118,6,1,1918.0,489.0,2078.0,635.0,1998.0,562.0,-17.0,8.0,1.0,18.788294228055936,2.701750070774057,-3.8832738694533333,0.28313677058575465,-77.5,33.625,2.7322322745498364,0.2573309830672886
UarP8qU1S-c_00,119,6,1,1848.0,508.0,2006.0,647.0,1927.0,577.5,-71.0,15.5,1.0,72.67220926874316,2.92665503368251,53.88391504068723,0.224904962908453,-76.2,30.0,2.7665283996216226,0.2996927866515548
UarP8qU1S-c_00,120,6,1,1804.0,500.5,2132.0,661.5,1968.0,581.0,41.0,3.5,1.0,41.14911906711977,0.08515939261970673,-31.52309020162339,-2.841495641062803,-56.666666666666664,25.583333333333332,2.717516458310584,1.1165124581856702
