video_name,frame_idx,track_id,class_id,x1,y1,x2,y2,cx,cy,dx,dy,dframes,velocity,direction,acceleration,direction_change,rolling_dx,rolling_dy,traj_direction,curvature
kkwEN_zBCx8_00,0,2,1,163.4000003348459,156.49999975,554.4999996651542,448.50000025,358.95000000000005,302.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
kkwEN_zBCx8_00,0,1,1,6.200000365445561,213.59999975,421.1999996345544,497.50000025,213.7,355.55,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
kkwEN_zBCx8_00,2,2,1,160.0,152.6,556.5,451.5,358.25,302.05,-0.7000000000000455,-0.44999999999998863,2.0,0.416082924427347,-2.570255173756207,0.0,0.0,-0.7000000000000455,-0.44999999999998863,-2.570255173756207,0.0
kkwEN_zBCx8_00,2,1,1,13.5,213.9,421.0,496.0,217.25,354.95,3.5500000000000114,-0.6000000000000227,2.0,1.8001736027394766,-0.16743177847052884,0.0,0.0,3.5500000000000114,-0.6000000000000227,-0.16743177847052884,0.0
kkwEN_zBCx8_00,4,1,1,17.5,211.0,421.5,496.0,219.5,353.5,2.25,-1.4499999999999886,2.0,1.3383758814324143,-0.5724598138180477,-0.23089886065353116,-0.40502803534751897,2.9000000000000057,-1.0250000000000057,-0.33974347105108943,0.13500934511583965
kkwEN_zBCx8_00,6,1,1,19.5,210.9,421.5,496.0,220.5,353.45,1.0,-0.05000000000001137,2.0,0.5006246098625199,-0.0499583957219541,-0.4188756357849472,0.5225014180960935,2.2666666666666706,-0.7000000000000076,-0.29953198906992573,0.30917648448120416
kkwEN_zBCx8_00,8,1,1,23.5,211.8,436.0,491.2,229.75,351.5,9.25,-1.9499999999999886,2.0,4.726653149957165,-0.2077686317676082,2.1130142700473225,-0.15781023604565414,4.012500000000003,-1.0125000000000028,-0.24717646178597052,0.3617798964964222
kkwEN_zBCx8_00,10,2,1,197.5,148.0,581.5,432.0,389.5,290.0,31.25,-12.050000000000011,8.0,4.1865950514708254,-0.3680312826970424,0.4713140158804348,2.2022238910591643,15.274999999999977,-6.25,-0.38838244491212026,0.7340746303530548
kkwEN_zBCx8_00,10,1,1,36.2,198.5,437.5,484.5,236.85,341.5,7.099999999999994,-10.0,2.0,6.132087735836791,-0.9533904350433243,0.7027172929398131,-0.7456218032757161,4.630000000000001,-2.8100000000000023,-0.5454859547033403,0.47531115247248795
kkwEN_zBCx8_00,12,2,1,193.4,139.1,586.5,443.0,389.95,291.05,0.44999999999998863,1.0500000000000114,2.0,0.5711829829397961,1.165904540509826,-1.8077060342655147,1.5339358232068685,10.333333333333314,-3.816666666666663,-0.35381232592172246,1.245386571422011
kkwEN_zBCx8_00,12,1,1,44.2,197.0,454.8,484.0,249.5,340.5,12.650000000000006,-1.0,2.0,6.344732066840966,-0.07888733084612519,0.10632216550208762,0.874503104197199,5.966666666666669,-2.508333333333335,-0.39796036728444417,0.5926450478395231
kkwEN_zBCx8_00,14,2,1,211.0,136.8,601.5,423.8,406.25,280.3,16.30000000000001,-10.75,2.0,9.762844104050833,-0.5830310535983361,4.595830560555519,-1.7489355941081621,11.824999999999989,-5.549999999999997,-0.4388239420353313,1.8283651027913983
kkwEN_zBCx8_00,16,2,1,180.5,131.0,604.0,466.5,392.25,298.75,-14.0,18.44999999999999,2.0,11.580182425160663,2.219910502717477,0.9086691605549149,2.802941556315813,6.659999999999991,-0.75,-0.11214016620645818,2.0286043245436147
kkwEN_zBCx8_00,18,2,1,223.5,129.5,621.0,437.0,422.25,283.25,30.0,-15.5,2.0,16.883794004903045,-0.47689186766553526,2.651805789871191,-2.696802370383012,10.549999999999992,-3.2083333333333335,-0.295220801312864,2.4162265069356628
kkwEN_zBCx8_00,20,2,1,240.1,142.0,635.0,433.0,437.55,287.5,15.300000000000011,4.25,2.0,7.939655219214503,0.27094685033842036,-4.472069392844271,0.7478387180039555,11.228571428571424,-2.142857142857143,-0.18857225941174752,2.08252754823426
kkwEN_zBCx8_00,22,2,1,256.5,149.5,650.5,426.5,453.5,288.0,15.949999999999989,0.5,2.0,7.978917533099331,0.0313376999400361,0.01963115694241413,-0.2396091503983843,11.818749999999994,-1.8125,-0.1521724377586042,1.2280834129284506
kkwEN_zBCx8_00,24,2,1,279.0,135.0,658.0,421.0,468.5,278.0,15.0,-10.0,2.0,9.013878188659973,-0.5880026035475676,0.517480327780321,-0.6193403034876036,12.172222222222217,-2.7222222222222223,-0.22002166740258336,0.5355960572966478
kkwEN_zBCx8_00,26,2,1,274.0,122.8,665.0,415.8,469.5,269.3,1.0,-8.699999999999989,2.0,4.378641341786279,-1.456356021524833,-2.317618423436847,-0.8683534179772654,11.054999999999996,-3.319999999999999,-0.2917472267989683,0.5757676239544177
kkwEN_zBCx8_00,28,2,1,273.5,81.4,673.5,426.5,473.5,253.95,4.0,-15.350000000000023,2.0,7.93130663888367,-1.3158791529826062,1.7763326485486952,0.14047686854222688,10.413636363636359,-4.413636363636365,-0.4008812536978112,0.5427235300023653
kkwEN_zBCx8_00,30,2,1,307.5,120.1,693.5,416.0,500.5,268.05,27.0,14.100000000000023,2.0,15.229986868017981,0.4812669308984326,3.649340114567156,1.7971460838810387,11.795833333333329,-2.8708333333333322,-0.23873550774746347,0.935325456800177
kkwEN_zBCx8_00,32,2,1,325.0,104.6,709.0,412.5,517.0,258.55,16.5,-9.5,2.0,9.519716382329886,-0.5224034317165288,-2.8551352428440477,-1.0036703626149615,12.157692307692304,-3.38076923076923,-0.27122420663626995,0.9804311050127423
kkwEN_zBCx8_00,34,2,1,344.5,111.5,724.5,398.5,534.5,255.0,17.5,-3.5500000000000114,2.0,8.928220707397417,-0.20014129704640662,-0.29574783746623456,0.32226213467012227,12.539285714285711,-3.392857142857143,-0.26425065325551006,1.0410261937220409
kkwEN_zBCx8_00,36,2,1,363.0,112.8,738.0,389.2,550.5,251.0,16.0,-4.0,2.0,8.246211251235321,-0.24497866312686417,-0.34100472808104776,-0.04483736608045755,12.769999999999998,-3.433333333333333,-0.262648341640849,0.4569232877885137
kkwEN_zBCx8_00,38,2,1,354.0,107.4,745.0,405.0,549.5,256.2,-1.0,5.199999999999989,2.0,2.6476404589747395,1.7607846147136126,-2.7992853961302906,2.005763277840477,11.909374999999997,-2.8937500000000007,-0.2383615673756993,0.7909542595303521
kkwEN_zBCx8_00,40,2,1,370.2,112.0,762.0,401.0,566.1,256.5,16.600000000000023,0.30000000000001137,2.0,8.30135531103206,0.018070322026224998,2.82685742602866,-1.7427142926873875,12.185294117647057,-2.7058823529411766,-0.2185155990813699,1.2644383122027738
kkwEN_zBCx8_00,42,2,1,389.8,114.4,774.0,390.0,581.9,252.2,15.799999999999955,-4.300000000000011,2.0,8.187337784652572,-0.26571643056261884,-0.057008763189744016,-0.28378675258884384,12.386111111111108,-2.794444444444445,-0.2218960423761241,1.3440881077055693
kkwEN_zBCx8_00,52,1,1,323.2,158.1,745.0,410.0,534.1,284.05,284.6,-56.44999999999999,40.0,7.2536095540427326,-0.19580713305372566,0.02272193718004416,-0.1169198022076005,45.77142857142858,-10.214285714285714,-0.2195610357714368,0.5790149032268386
kkwEN_zBCx8_00,54,1,1,335.0,210.5,743.0,409.5,539.0,310.0,4.899999999999977,25.94999999999999,2.0,13.204284342591226,1.3841690102024968,2.9753373942742467,1.5799761432562225,40.6625,-5.693750000000001,-0.139120061333609,0.857133016553674
kkwEN_zBCx8_00,56,1,1,350.5,112.1,774.5,410.0,562.5,261.05,23.5,-48.94999999999999,2.0,27.14936693552908,-1.1232099395508244,6.972541296468927,-2.5073789497533214,38.75555555555556,-10.5,-0.2645774153742871,1.4014249650723816
kkwEN_zBCx8_00,84,2,1,709.0,108.0,1069.0,345.2,889.0,226.6,307.1,-25.599999999999994,42.0,7.337265875075126,-0.08316818025536366,-0.020239807370891573,0.18254825030725522,27.89736842105263,-3.9947368421052634,-0.14222719655321273,0.7363497651944955
kkwEN_zBCx8_00,86,2,1,756.0,104.9,1090.0,346.5,923.0,225.7,34.0,-0.9000000000000057,2.0,17.00595483940846,-0.02646440825640655,4.834344482166667,0.056703771998957105,28.202499999999997,-3.8400000000000007,-0.13532596550135165,0.17434625829835204
kkwEN_zBCx8_00,88,2,1,729.0,98.5,1116.0,331.0,922.5,214.75,-0.5,-10.949999999999989,2.0,5.480704790444377,-1.6164267313170742,-5.762625024482041,-1.5899623230606676,28.2125,-4.365,-0.15350154228111204,0.6097381151222933
kkwEN_zBCx8_00,90,2,1,741.0,76.9,1134.0,327.0,937.5,201.95,15.0,-12.800000000000011,2.0,9.859513172565878,-0.7064260556560565,2.1894041910607505,0.9100006756610177,27.4,-4.402500000000001,-0.15931352200792215,0.8522222569068808
kkwEN_zBCx8_00,92,2,1,772.0,91.8,1164.0,326.0,968.0,208.9,30.5,6.950000000000017,2.0,15.640911897968099,0.2240433740165374,2.8906993627011106,0.9304694296725939,28.902499999999996,-4.1075,-0.14117039856154048,1.1434774761314264
kkwEN_zBCx8_00,94,2,1,793.0,90.0,1182.0,317.0,987.5,203.5,19.5,-5.400000000000006,2.0,10.11694123735035,-0.2701531997114053,-2.7619853303088746,-0.49419657372794273,29.0625,-3.8400000000000007,-0.13136808088886787,0.7782222263538515
kkwEN_zBCx8_00,96,2,1,832.0,94.4,1212.0,309.0,1022.0,201.7,34.5,-1.8000000000000114,2.0,17.2734623049347,-0.05212664904564651,3.578260533792175,0.2180265506657588,31.4875,-4.852500000000001,-0.152905865614382,0.5475641846887652
