video_name,frame_idx,track_id,class_id,x1,y1,x2,y2
HC89136mZXs_00,0,4,0,458.00000036561266,408.69999975,531.9999996343873,459.30000025
HC89136mZXs_00,0,3,0,253.3000004380863,465.99999975000003,346.69999956191367,519.3000002499999
HC89136mZXs_00,0,2,0,677.7000004176756,340.69999975,746.6999995823245,382.00000025
HC89136mZXs_00,0,1,0,0.8000007537406333,7.499999750000001,121.69999924625937,47.60000025
HC89136mZXs_00,1,4,0,458.0,408.7,532.0,459.3
HC89136mZXs_00,1,3,0,253.7,466.0,346.7,519.3
HC89136mZXs_00,1,2,0,677.7,340.7,746.7,382.0
HC89136mZXs_00,1,1,0,0.8,7.5,121.7,47.7
HC89136mZXs_00,2,4,0,458.0,408.7,532.0,460.7
HC89136mZXs_00,2,3,0,253.7,466.3,346.7,519.0
HC89136mZXs_00,2,2,0,677.7,340.3,746.7,383.7
HC89136mZXs_00,2,1,0,0.8,7.5,121.7,47.7
HC89136mZXs_00,3,4,0,458.0,408.0,531.3,461.3
HC89136mZXs_00,3,3,0,254.0,466.0,346.7,519.3
HC89136mZXs_00,3,2,0,678.0,340.3,746.0,384.3
HC89136mZXs_00,3,1,0,0.9,7.5,121.6,47.7
HC89136mZXs_00,4,4,0,458.0,408.7,531.3,460.7
HC89136mZXs_00,4,3,0,254.0,466.0,346.7,519.3
HC89136mZXs_00,4,2,0,677.3,340.7,746.7,384.7
HC89136mZXs_00,4,1,0,1.0,7.5,121.7,47.3
HC89136mZXs_00,5,4,0,458.0,408.3,532.7,460.3
HC89136mZXs_00,5,3,0,254.0,466.0,346.7,519.3
HC89136mZXs_00,5,2,0,677.3,340.7,748.0,384.7
HC89136mZXs_00,5,1,0,1.0,7.6,121.6,47.2
HC89136mZXs_00,6,4,0,458.0,408.0,532.7,460.0
HC89136mZXs_00,6,3,0,254.0,466.0,346.7,519.3
HC89136mZXs_00,6,2,0,677.3,340.3,748.0,385.0
HC89136mZXs_00,6,1,0,1.0,7.5,121.7,47.2
HC89136mZXs_00,7,4,0,458.0,408.7,532.7,460.7
HC89136mZXs_00,7,3,0,254.0,466.0,346.7,519.3
HC89136mZXs_00,7,2,0,678.3,340.7,748.0,386.7
HC89136mZXs_00,7,1,0,0.9,7.5,121.5,47.5
HC89136mZXs_00,8,4,0,458.0,408.3,533.3,460.3
HC89136mZXs_00,8,3,0,253.3,466.7,346.7,520.0
HC89136mZXs_00,8,2,0,678.0,340.0,747.3,384.0
HC89136mZXs_00,8,1,0,1.0,7.6,121.5,46.4
HC89136mZXs_00,9,4,0,458.0,408.3,532.7,460.3
HC89136mZXs_00,9,3,0,253.3,466.0,346.7,519.3
HC89136mZXs_00,9,2,0,678.0,340.0,747.3,384.0
HC89136mZXs_00,9,1,0,1.0,7.6,121.5,46.2
HC89136mZXs_00,10,4,0,458.0,408.3,532.7,460.3
HC89136mZXs_00,10,3,0,253.3,466.7,346.7,520.0
HC89136mZXs_00,10,2,0,677.3,340.0,746.7,384.0
HC89136mZXs_00,10,1,0,0.9,7.6,121.5,46.6
HC89136mZXs_00,11,4,0,457.7,408.0,532.3,460.0
HC89136mZXs_00,11,3,0,253.3,466.7,346.7,520.0
HC89136mZXs_00,11,2,0,678.0,340.0,747.3,384.0
HC89136mZXs_00,11,1,0,1.0,7.6,121.5,46.5
