video_name,frame_idx,track_id,class_id,x1,y1,x2,y2
LrMyR9M_g3I_00,0,7,0,465.50000020408163,388.99999975000003,505.49999979591837,438.00000024999997
LrMyR9M_g3I_00,0,6,1,330.00000023999996,186.49999975,341.99999976000004,199.00000025
LrMyR9M_g3I_00,0,4,1,308.00000017567567,185.99999975,320.99999982432433,204.50000025
LrMyR9M_g3I_00,0,3,0,416.5000001970954,252.39999975,435.4999998029046,276.50000024999997
LrMyR9M_g3I_00,0,2,1,350.80000021232877,188.19999975,363.19999978767123,202.80000025
LrMyR9M_g3I_00,0,1,0,353.50000019298244,268.99999975000003,375.49999980701756,297.50000024999997
LrMyR9M_g3I_00,1,7,0,459.2,381.2,498.2,426.2
LrMyR9M_g3I_00,1,6,1,330.0,185.2,342.0,198.2
LrMyR9M_g3I_00,1,4,1,308.0,186.8,320.0,203.2
LrMyR9M_g3I_00,1,3,0,414.0,249.6,433.0,273.5
LrMyR9M_g3I_00,1,2,1,350.2,187.5,362.2,202.0
LrMyR9M_g3I_00,1,1,0,353.0,266.0,374.0,294.0
LrMyR9M_g3I_00,2,7,0,453.5,371.0,491.5,414.0
LrMyR9M_g3I_00,2,6,1,329.5,184.2,342.0,197.0
LrMyR9M_g3I_00,2,4,1,308.0,185.0,320.0,201.8
LrMyR9M_g3I_00,2,3,0,412.0,246.4,431.0,270.5
LrMyR9M_g3I_00,2,2,1,349.0,187.2,361.0,199.8
LrMyR9M_g3I_00,2,1,0,352.5,263.5,373.5,290.5
LrMyR9M_g3I_00,3,7,0,448.5,362.0,485.5,403.0
LrMyR9M_g3I_00,3,6,1,329.0,183.2,341.0,195.5
LrMyR9M_g3I_00,3,4,1,307.5,186.1,319.5,201.6
LrMyR9M_g3I_00,3,3,0,409.8,243.5,428.8,267.5
LrMyR9M_g3I_00,3,2,1,348.0,185.4,360.0,198.6
LrMyR9M_g3I_00,3,1,0,351.5,259.5,372.5,287.5
LrMyR9M_g3I_00,4,7,0,443.8,352.0,479.2,394.0
LrMyR9M_g3I_00,4,6,1,329.0,182.8,340.0,194.2
LrMyR9M_g3I_00,4,4,1,307.0,183.8,319.0,198.5
LrMyR9M_g3I_00,4,3,0,408.0,241.0,426.0,264.0
LrMyR9M_g3I_00,4,2,1,348.0,184.8,359.0,197.2
LrMyR9M_g3I_00,4,1,0,352.0,257.5,371.0,282.5
LrMyR9M_g3I_00,5,7,0,439.2,344.5,473.2,386.5
LrMyR9M_g3I_00,5,6,1,328.5,181.4,339.5,193.6
LrMyR9M_g3I_00,5,4,1,307.0,184.5,318.5,197.5
LrMyR9M_g3I_00,5,3,0,405.5,239.5,423.5,260.5
LrMyR9M_g3I_00,5,2,1,347.0,183.6,358.0,196.1
LrMyR9M_g3I_00,5,1,0,351.0,255.0,370.0,279.0
LrMyR9M_g3I_00,6,7,0,434.5,336.8,467.5,375.8
LrMyR9M_g3I_00,6,6,1,327.5,180.5,339.0,192.5
LrMyR9M_g3I_00,6,4,1,306.2,184.2,318.2,197.2
LrMyR9M_g3I_00,6,3,0,404.0,237.2,421.0,257.8
LrMyR9M_g3I_00,6,2,1,346.0,182.6,358.0,194.4
LrMyR9M_g3I_00,6,1,0,349.8,251.8,369.8,275.2
LrMyR9M_g3I_00,7,7,0,431.0,330.0,462.0,367.0
LrMyR9M_g3I_00,7,6,1,326.5,179.2,338.5,191.0
LrMyR9M_g3I_00,7,4,1,306.0,182.5,318.0,195.0
LrMyR9M_g3I_00,7,3,0,402.0,234.2,419.5,254.8
LrMyR9M_g3I_00,7,2,1,345.5,181.5,357.5,193.5
LrMyR9M_g3I_00,7,1,0,349.5,247.4,369.5,272.5
LrMyR9M_g3I_00,8,7,0,426.5,324.5,457.5,359.0
LrMyR9M_g3I_00,8,6,1,326.0,178.1,338.0,190.4
LrMyR9M_g3I_00,8,4,1,306.5,182.2,317.5,194.8
LrMyR9M_g3I_00,8,3,0,400.0,231.8,417.0,252.2
LrMyR9M_g3I_00,8,2,1,344.8,179.5,356.2,192.5
LrMyR9M_g3I_00,8,1,0,348.5,245.5,367.5,269.0
LrMyR9M_g3I_00,9,7,0,423.0,317.2,453.0,352.2
LrMyR9M_g3I_00,9,6,1,326.0,177.2,337.0,189.2
LrMyR9M_g3I_00,9,4,1,306.0,181.5,318.0,193.5
LrMyR9M_g3I_00,9,3,0,399.0,229.5,415.0,249.5
LrMyR9M_g3I_00,9,2,1,344.5,178.5,355.5,191.0
LrMyR9M_g3I_00,9,1,0,348.0,242.8,367.0,266.2
LrMyR9M_g3I_00,10,7,0,420.0,310.0,448.0,344.5
LrMyR9M_g3I_00,10,6,1,325.5,176.8,336.5,189.8
LrMyR9M_g3I_00,10,4,1,306.0,181.2,317.0,192.2
