video_name,frame_idx,track_id,class_id,x1,y1,x2,y2
fy1ZkNZQhWA_00,0,15,0,170.40000028012045,176.09999975,188.99999971987953,192.70000024999996
fy1ZkNZQhWA_00,0,14,0,208.40000026480837,238.19999975,238.79999973519168,266.90000024999995
fy1ZkNZQhWA_00,0,11,0,331.3000001762402,649.09999975,358.29999982375983,687.40000025
fy1ZkNZQhWA_00,0,9,0,90.10000027008927,140.49999975,102.19999972991074,151.70000025
fy1ZkNZQhWA_00,0,8,0,192.10000029064037,198.79999975,215.6999997093596,219.10000024999997
fy1ZkNZQhWA_00,0,7,0,118.00000029687499,164.49999975,135.099999703125,178.90000024999998
fy1ZkNZQhWA_00,0,6,0,801.0000001967655,649.09999975,830.1999998032345,686.2000002500001
fy1ZkNZQhWA_00,0,5,0,274.20000015404696,649.09999975,297.79999984595304,687.40000025
fy1ZkNZQhWA_00,0,4,0,637.9000001690599,649.09999975,663.7999998309399,687.40000025
fy1ZkNZQhWA_00,0,3,0,356.6000002378436,297.79999975000004,401.5999997621565,345.10000025000005
fy1ZkNZQhWA_00,0,2,0,703.1000005523559,648.59999975,787.499999447644,686.80000025
fy1ZkNZQhWA_00,0,1,0,546.200000550914,649.09999975,630.5999994490862,687.40000025
fy1ZkNZQhWA_00,1,16,0,312.5000003352804,202.49999975,341.19999966471966,223.90000024999998
fy1ZkNZQhWA_00,1,15,0,173.2,178.2,191.8,195.3
fy1ZkNZQhWA_00,1,14,0,215.2,240.3,243.3,277.7
fy1ZkNZQhWA_00,1,11,0,331.3,649.1,358.3,687.4
fy1ZkNZQhWA_00,1,9,0,92.0,140.8,104.1,152.2
fy1ZkNZQhWA_00,1,8,0,194.2,201.7,218.7,221.3
fy1ZkNZQhWA_00,1,7,0,118.7,165.5,136.0,179.9
fy1ZkNZQhWA_00,1,6,0,801.0,649.1,830.2,686.2
fy1ZkNZQhWA_00,1,5,0,274.2,649.1,297.8,687.4
fy1ZkNZQhWA_00,1,4,0,637.9,649.1,663.8,687.4
fy1ZkNZQhWA_00,1,3,0,365.1,303.2,412.3,352.7
fy1ZkNZQhWA_00,1,2,0,703.1,648.0,787.5,686.2
fy1ZkNZQhWA_00,1,1,0,546.8,649.1,630.0,687.4
fy1ZkNZQhWA_00,2,17,2,205.90000020268363,131.09999975000002,234.59999979731637,166.50000025
fy1ZkNZQhWA_00,2,16,0,310.5,201.1,338.1,219.7
fy1ZkNZQhWA_00,2,15,0,174.1,178.5,193.2,195.9
fy1ZkNZQhWA_00,2,14,0,221.3,246.8,248.9,278.6
fy1ZkNZQhWA_00,2,11,0,331.3,649.1,358.3,687.4
