video_name,frame_idx,track_id,class_id,x1,y1,x2,y2
jWFyAaY7r8E_00,0,7,0,352.00000034138657,97.19999975,416.99999965861343,144.80000025
jWFyAaY7r8E_00,0,6,1,780.5000003974359,102.69999975,811.4999996025641,122.20000025
jWFyAaY7r8E_00,0,5,0,916.0000002835052,204.09999975,959.9999997164948,242.90000025
jWFyAaY7r8E_00,0,4,1,713.0000003867713,104.59999975,781.9999996132287,149.20000025
jWFyAaY7r8E_00,0,3,0,666.0000002806122,99.89999975,709.9999997193878,139.10000025
jWFyAaY7r8E_00,0,2,1,753.000000260223,108.99999975,780.999999739777,135.90000025
jWFyAaY7r8E_00,0,1,0,780.0000004278074,103.49999975,811.9999995721926,122.20000024999999
jWFyAaY7r8E_00,1,7,0,355.8,98.6,422.2,145.0
jWFyAaY7r8E_00,1,6,1,780.5,102.8,811.5,122.2
jWFyAaY7r8E_00,1,4,1,713.0,106.0,782.0,149.2
jWFyAaY7r8E_00,1,3,0,666.0,100.0,710.0,139.0
jWFyAaY7r8E_00,1,2,1,753.0,108.9,781.0,135.9
jWFyAaY7r8E_00,1,1,0,780.0,103.6,812.0,122.3
jWFyAaY7r8E_00,2,7,0,361.2,100.5,426.8,147.5
jWFyAaY7r8E_00,2,6,1,780.5,102.7,811.5,122.2
jWFyAaY7r8E_00,2,5,0,904.0,192.0,960.0,243.5
jWFyAaY7r8E_00,2,4,1,713.0,106.4,782.0,149.2
jWFyAaY7r8E_00,2,3,0,665.0,99.9,709.0,139.6
jWFyAaY7r8E_00,2,2,1,752.5,108.9,781.5,136.2
jWFyAaY7r8E_00,2,1,0,780.0,103.5,812.0,122.2
jWFyAaY7r8E_00,3,7,0,365.0,100.6,434.0,148.4
jWFyAaY7r8E_00,3,6,1,783.0,101.8,811.0,121.0
jWFyAaY7r8E_00,3,4,1,711.5,95.9,782.5,160.0
jWFyAaY7r8E_00,3,3,0,665.0,99.8,707.0,137.2
jWFyAaY7r8E_00,4,7,0,369.2,102.1,439.8,149.4
jWFyAaY7r8E_00,4,6,1,783.0,101.8,811.0,121.0
jWFyAaY7r8E_00,4,5,0,894.0,178.8,960.0,251.2
jWFyAaY7r8E_00,4,4,1,711.0,95.9,783.0,154.9
jWFyAaY7r8E_00,4,3,0,665.0,99.8,707.0,137.2
jWFyAaY7r8E_00,5,7,0,374.0,103.2,445.0,150.9
jWFyAaY7r8E_00,5,6,1,783.0,101.7,811.0,121.1
jWFyAaY7r8E_00,5,5,0,888.0,175.8,960.0,245.8
jWFyAaY7r8E_00,5,4,1,711.0,95.8,783.0,157.2
jWFyAaY7r8E_00,5,3,0,665.0,99.8,707.0,137.2
jWFyAaY7r8E_00,6,7,0,378.5,104.8,451.5,152.2
jWFyAaY7r8E_00,6,6,1,783.0,101.6,811.0,121.1
jWFyAaY7r8E_00,6,5,0,884.0,174.5,960.0,239.5
jWFyAaY7r8E_00,6,4,1,711.5,95.6,782.5,156.6
jWFyAaY7r8E_00,6,3,0,665.0,99.8,707.0,137.2
jWFyAaY7r8E_00,7,7,0,384.0,104.7,457.0,153.8
jWFyAaY7r8E_00,7,6,1,782.0,101.0,811.0,121.1
jWFyAaY7r8E_00,7,5,0,879.0,172.0,960.0,236.0
jWFyAaY7r8E_00,7,4,1,711.0,95.6,783.0,159.1
jWFyAaY7r8E_00,7,3,0,665.0,99.6,708.0,136.9
jWFyAaY7r8E_00,8,7,0,388.5,106.8,463.5,155.2
jWFyAaY7r8E_00,8,6,1,782.0,100.9,811.0,121.1
jWFyAaY7r8E_00,8,5,0,876.0,169.2,960.0,233.2
jWFyAaY7r8E_00,8,4,1,711.0,95.8,783.0,158.2
jWFyAaY7r8E_00,8,3,0,665.0,99.6,708.0,137.4
jWFyAaY7r8E_00,9,7,0,394.5,107.4,470.5,156.9
jWFyAaY7r8E_00,9,6,1,782.0,100.6,811.0,121.1
jWFyAaY7r8E_00,9,5,0,872.0,164.5,956.0,227.2
jWFyAaY7r8E_00,9,4,1,711.0,95.8,783.0,159.5
jWFyAaY7r8E_00,9,3,0,665.0,99.6,708.0,137.4
jWFyAaY7r8E_00,10,7,0,400.8,108.6,477.2,157.5
jWFyAaY7r8E_00,10,6,1,782.0,100.9,811.0,121.1
jWFyAaY7r8E_00,10,5,0,868.0,164.2,951.0,223.5
jWFyAaY7r8E_00,10,4,1,711.0,95.8,783.0,159.8
jWFyAaY7r8E_00,10,3,0,665.0,99.6,708.0,137.4
jWFyAaY7r8E_00,11,7,0,407.0,108.9,483.0,158.6
jWFyAaY7r8E_00,11,6,1,782.0,99.9,811.0,121.1
jWFyAaY7r8E_00,11,5,0,864.5,161.8,944.5,218.2
jWFyAaY7r8E_00,11,4,1,711.0,95.8,783.0,160.2
jWFyAaY7r8E_00,11,3,0,665.0,99.6,708.0,137.4
jWFyAaY7r8E_00,12,7,0,412.8,111.9,491.8,160.0
jWFyAaY7r8E_00,12,6,1,782.0,100.4,811.0,121.1
jWFyAaY7r8E_00,12,5,0,863.5,160.1,937.5,219.4
jWFyAaY7r8E_00,12,4,1,711.0,95.8,783.0,159.1
jWFyAaY7r8E_00,12,3,0,665.0,99.6,708.0,137.4
jWFyAaY7r8E_00,13,7,0,418.5,112.1,498.5,161.4
jWFyAaY7r8E_00,13,6,1,782.0,101.0,811.0,121.1
jWFyAaY7r8E_00,13,5,0,860.0,156.4,932.0,216.4
jWFyAaY7r8E_00,13,4,1,711.5,95.8,782.5,159.5
jWFyAaY7r8E_00,13,3,0,665.0,99.8,708.0,137.0
jWFyAaY7r8E_00,14,7,0,426.0,113.9,505.0,162.5
jWFyAaY7r8E_00,14,6,1,782.0,93.8,811.0,121.1
jWFyAaY7r8E_00,14,5,0,857.0,153.2,927.0,213.2
jWFyAaY7r8E_00,14,4,1,711.0,96.0,783.0,160.0
jWFyAaY7r8E_00,14,3,0,665.0,99.8,708.0,137.4
jWFyAaY7r8E_00,15,7,0,433.0,114.2,515.0,163.5
jWFyAaY7r8E_00,15,6,1,782.0,96.7,811.0,121.2
jWFyAaY7r8E_00,15,5,0,855.0,154.0,924.0,208.2
jWFyAaY7r8E_00,15,4,1,711.0,96.1,783.0,161.0
jWFyAaY7r8E_00,15,3,0,665.0,99.9,707.0,137.4
jWFyAaY7r8E_00,16,7,0,441.0,115.9,522.5,165.4
jWFyAaY7r8E_00,16,5,0,852.5,152.0,917.5,206.5
jWFyAaY7r8E_00,16,4,1,711.0,96.0,783.0,160.5
jWFyAaY7r8E_00,16,3,0,665.0,99.9,708.0,137.4
jWFyAaY7r8E_00,17,7,0,448.5,117.8,528.5,166.8
jWFyAaY7r8E_00,17,5,0,852.0,148.6,914.0,202.4
jWFyAaY7r8E_00,17,4,1,711.0,96.0,783.0,161.0
jWFyAaY7r8E_00,17,3,0,665.0,99.9,707.0,137.4
jWFyAaY7r8E_00,18,7,0,457.0,118.5,538.0,167.8
jWFyAaY7r8E_00,18,5,0,849.5,146.0,912.5,200.5
jWFyAaY7r8E_00,18,4,1,711.0,96.1,783.0,161.0
jWFyAaY7r8E_00,18,3,0,665.0,99.8,708.0,137.4
jWFyAaY7r8E_00,19,7,0,465.0,120.4,547.5,168.5
jWFyAaY7r8E_00,19,5,0,848.0,144.8,908.0,198.8
jWFyAaY7r8E_00,19,4,1,711.0,96.0,783.0,160.5
jWFyAaY7r8E_00,19,3,0,665.0,99.9,708.0,137.4
jWFyAaY7r8E_00,20,7,0,472.8,120.5,559.0,170.5
jWFyAaY7r8E_00,20,5,0,848.0,144.4,904.0,196.9
jWFyAaY7r8E_00,20,4,1,711.0,96.0,783.0,160.5
jWFyAaY7r8E_00,20,3,0,665.0,99.9,707.0,137.4
jWFyAaY7r8E_00,21,7,0,482.0,122.1,568.0,172.1
jWFyAaY7r8E_00,21,6,1,788.5,80.8,826.5,110.5
jWFyAaY7r8E_00,21,5,0,846.5,141.5,902.5,193.5
jWFyAaY7r8E_00,21,4,1,711.5,95.9,783.5,160.4
jWFyAaY7r8E_00,21,3,0,665.0,99.9,707.0,137.4
jWFyAaY7r8E_00,22,7,0,491.5,123.2,578.5,174.0
jWFyAaY7r8E_00,22,5,0,845.0,139.6,899.0,190.9
jWFyAaY7r8E_00,22,4,1,711.0,96.1,783.0,160.5
jWFyAaY7r8E_00,22,3,0,665.0,99.9,707.0,137.4
jWFyAaY7r8E_00,23,7,0,501.0,125.0,588.0,176.5
jWFyAaY7r8E_00,23,5,0,845.0,137.9,897.0,188.9
jWFyAaY7r8E_00,23,4,1,711.0,96.0,783.0,159.8
jWFyAaY7r8E_00,23,3,0,665.0,99.8,707.0,137.2
jWFyAaY7r8E_00,24,7,0,509.0,127.2,598.0,178.8
jWFyAaY7r8E_00,24,4,1,711.0,96.0,783.0,160.0
jWFyAaY7r8E_00,24,3,0,665.0,99.8,707.0,137.2
jWFyAaY7r8E_00,25,7,0,518.0,128.0,608.0,179.5
jWFyAaY7r8E_00,25,4,1,711.5,96.0,782.5,159.9
jWFyAaY7r8E_00,25,3,0,665.0,99.8,707.0,137.2
jWFyAaY7r8E_00,26,11,0,844.0,134.2,890.0,181.0
jWFyAaY7r8E_00,26,7,0,529.5,129.0,618.5,181.0
jWFyAaY7r8E_00,26,4,1,711.5,96.1,782.5,158.1
jWFyAaY7r8E_00,26,3,0,665.0,99.8,707.0,137.2
jWFyAaY7r8E_00,27,11,0,844.0,132.0,888.0,183.5
jWFyAaY7r8E_00,27,7,0,540.0,130.0,628.0,182.0
jWFyAaY7r8E_00,27,4,1,711.5,96.1,782.5,159.1
jWFyAaY7r8E_00,27,3,0,665.0,99.9,707.0,137.4
jWFyAaY7r8E_00,28,11,0,844.5,131.8,886.5,178.8
jWFyAaY7r8E_00,28,7,0,549.5,132.4,638.5,183.9
jWFyAaY7r8E_00,28,4,1,711.5,96.1,782.5,161.1
jWFyAaY7r8E_00,28,3,0,665.0,99.8,708.0,137.1
jWFyAaY7r8E_00,29,11,0,844.0,129.8,886.0,177.2
jWFyAaY7r8E_00,29,7,0,560.5,132.8,648.5,184.5
jWFyAaY7r8E_00,29,4,1,711.0,96.0,783.0,148.5
jWFyAaY7r8E_00,29,3,0,665.0,99.8,708.0,136.8
jWFyAaY7r8E_00,30,11,0,844.0,128.5,886.0,176.0
jWFyAaY7r8E_00,30,7,0,573.0,133.2,659.0,185.8
jWFyAaY7r8E_00,30,3,0,665.0,99.8,707.0,137.4
jWFyAaY7r8E_00,31,11,0,844.5,127.2,884.5,174.2
jWFyAaY7r8E_00,31,7,0,574.5,135.5,669.5,187.0
jWFyAaY7r8E_00,31,3,0,665.0,99.8,707.0,137.5
jWFyAaY7r8E_00,31,2,1,710.0,95.9,782.0,140.5
jWFyAaY7r8E_00,32,11,0,845.5,126.9,883.5,171.6
jWFyAaY7r8E_00,32,7,0,586.0,136.1,672.0,186.4
jWFyAaY7r8E_00,32,6,1,780.0,80.4,826.0,110.6
jWFyAaY7r8E_00,32,3,0,665.5,99.9,707.5,136.4
jWFyAaY7r8E_00,32,2,1,712.0,95.8,782.0,143.8
jWFyAaY7r8E_00,33,11,0,845.5,125.2,883.5,170.8
jWFyAaY7r8E_00,33,7,0,586.0,136.0,672.0,186.5
jWFyAaY7r8E_00,33,6,1,779.0,80.4,827.0,110.6
jWFyAaY7r8E_00,33,3,0,665.5,99.6,707.5,129.9
