video_name,frame_idx,track_id,class_id,x1,y1,x2,y2
poiJgI2OE-w_00,0,9,4,735.70000031125,160.09999975,760.5999996887501,180.10000025
poiJgI2OE-w_00,0,8,1,805.1000002965278,166.39999975,847.7999997034723,202.40000025
poiJgI2OE-w_00,0,6,0,46.90000033333332,4.1999997500000035,71.69999966666668,22.800000249999997
poiJgI2OE-w_00,0,5,3,380.30000025828724,144.39999975,398.9999997417127,162.50000024999997
poiJgI2OE-w_00,0,4,0,823.3000001508929,100.79999975000001,840.1999998491071,128.80000025
poiJgI2OE-w_00,0,3,1,47.00000033977899,4.499999750000002,71.599999660221,22.60000025
poiJgI2OE-w_00,0,2,1,790.8000001028505,100.59999975000001,817.4999998971495,165.50000025000003
poiJgI2OE-w_00,0,1,0,224.80000018715083,4.099999750000002,238.19999981284917,22.000000249999996
poiJgI2OE-w_00,3,8,1,819.3,174.4,847.8,202.4
poiJgI2OE-w_00,3,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,3,5,3,380.7,144.8,399.4,162.1
poiJgI2OE-w_00,3,4,0,822.0,100.7,839.8,128.3
poiJgI2OE-w_00,3,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,3,2,1,791.3,100.5,818.0,165.2
poiJgI2OE-w_00,3,1,0,224.8,4.1,238.2,22.0
poiJgI2OE-w_00,6,12,4,28.400000242063477,179.29999975000004,40.59999975793652,191.90000025
poiJgI2OE-w_00,6,11,6,468.8000001736111,110.29999975000001,481.2999998263889,128.30000025
poiJgI2OE-w_00,6,8,1,819.3,167.6,847.8,202.7
poiJgI2OE-w_00,6,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,6,5,3,381.9,145.4,399.6,165.0
poiJgI2OE-w_00,6,4,0,822.4,100.6,840.2,128.2
poiJgI2OE-w_00,6,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,6,2,1,790.8,100.5,817.5,165.2
poiJgI2OE-w_00,6,1,0,224.7,4.1,238.0,21.9
poiJgI2OE-w_00,9,8,1,809.5,167.1,847.8,202.0
poiJgI2OE-w_00,9,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,9,5,3,381.6,145.4,399.4,163.2
poiJgI2OE-w_00,9,4,0,823.3,100.6,840.2,128.7
poiJgI2OE-w_00,9,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,9,2,1,790.8,100.5,817.5,165.2
poiJgI2OE-w_00,9,1,0,224.7,4.1,238.0,21.9
poiJgI2OE-w_00,12,8,1,801.5,166.6,847.8,202.2
poiJgI2OE-w_00,12,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,12,5,3,382.1,146.3,399.4,164.1
poiJgI2OE-w_00,12,4,0,824.2,100.9,840.2,128.5
poiJgI2OE-w_00,12,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,12,2,1,790.8,100.6,817.5,165.5
poiJgI2OE-w_00,12,1,0,224.7,4.1,238.0,21.9
poiJgI2OE-w_00,15,11,6,468.8,110.4,481.3,128.7
poiJgI2OE-w_00,15,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,15,5,3,381.0,146.3,399.6,164.4
poiJgI2OE-w_00,15,4,0,824.2,101.2,840.2,128.3
poiJgI2OE-w_00,15,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,15,2,1,791.7,100.6,817.5,165.4
poiJgI2OE-w_00,15,1,0,224.6,4.1,238.0,21.9
poiJgI2OE-w_00,18,11,6,468.8,110.3,481.3,128.5
poiJgI2OE-w_00,18,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,18,5,3,381.6,146.4,399.4,163.1
poiJgI2OE-w_00,18,4,0,824.2,101.2,840.2,128.3
poiJgI2OE-w_00,18,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,18,2,1,790.8,100.6,817.5,165.4
poiJgI2OE-w_00,18,1,0,224.6,4.1,238.0,21.9
poiJgI2OE-w_00,21,11,6,468.8,107.3,481.3,128.4
poiJgI2OE-w_00,21,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,21,5,3,383.0,146.6,399.4,163.0
poiJgI2OE-w_00,21,4,0,824.6,101.4,840.7,128.3
poiJgI2OE-w_00,21,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,21,2,1,790.8,100.7,817.5,165.2
poiJgI2OE-w_00,21,1,0,224.6,4.1,238.0,21.9
poiJgI2OE-w_00,24,11,6,468.8,108.4,481.3,128.4
poiJgI2OE-w_00,24,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,24,5,3,380.3,145.8,399.9,163.8
poiJgI2OE-w_00,24,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,24,2,1,790.0,100.7,816.6,165.2
poiJgI2OE-w_00,24,1,0,224.6,4.1,238.0,21.9
poiJgI2OE-w_00,27,11,6,469.3,109.6,480.8,128.5
poiJgI2OE-w_00,27,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,27,5,3,380.3,145.9,399.9,163.7
poiJgI2OE-w_00,27,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,27,2,1,789.1,100.7,817.5,165.2
poiJgI2OE-w_00,27,1,0,224.6,4.1,238.0,21.9
poiJgI2OE-w_00,30,11,6,468.8,104.7,481.3,128.3
poiJgI2OE-w_00,30,6,0,46.8,4.2,71.7,22.9
poiJgI2OE-w_00,30,5,3,379.9,145.9,399.4,164.1
poiJgI2OE-w_00,30,3,1,47.0,4.5,71.6,22.7
poiJgI2OE-w_00,30,2,1,789.5,100.9,817.1,165.0
poiJgI2OE-w_00,30,1,0,224.6,4.1,238.0,21.9
poiJgI2OE-w_00,33,11,6,468.8,104.9,481.3,128.1
poiJgI2OE-w_00,33,8,1,801.5,167.7,846.9,201.9
poiJgI2OE-w_00,33,6,0,46.9,4.2,71.8,22.8
poiJgI2OE-w_00,33,5,3,383.4,146.1,399.4,163.5
poiJgI2OE-w_00,33,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,33,2,1,789.1,100.9,817.5,165.0
poiJgI2OE-w_00,33,1,0,224.8,4.0,238.2,21.9
poiJgI2OE-w_00,36,11,6,469.3,109.2,480.8,128.3
poiJgI2OE-w_00,36,8,1,802.0,167.9,847.3,202.2
poiJgI2OE-w_00,36,6,0,46.8,4.2,71.7,22.8
poiJgI2OE-w_00,36,5,3,383.4,146.3,399.4,163.2
poiJgI2OE-w_00,36,4,0,823.8,102.0,839.8,128.3
poiJgI2OE-w_00,36,3,1,47.0,4.5,71.6,22.6
poiJgI2OE-w_00,36,2,1,791.3,100.8,817.1,165.2
poiJgI2OE-w_00,36,1,0,224.8,4.1,238.2,22.0
poiJgI2OE-w_00,39,11,6,468.8,106.9,481.3,128.3
poiJgI2OE-w_00,39,9,4,735.7,160.2,767.7,181.6
poiJgI2OE-w_00,39,8,1,802.4,167.8,846.9,202.0
poiJgI2OE-w_00,39,6,0,46.9,4.2,71.7,22.8
poiJgI2OE-w_00,39,5,3,383.9,146.7,399.0,162.5
poiJgI2OE-w_00,39,4,0,823.8,102.1,839.8,128.5
