video_name,frame_idx,track_id,class_id,x1,y1,x2,y2
r-fThmrFOqs_00,0,10,0,329.5000002114165,151.09999975,369.4999997885835,198.40000025
r-fThmrFOqs_00,0,9,0,768.0000003428571,105.69999975,839.9999996571429,158.20000025
r-fThmrFOqs_00,0,8,0,607.5000004464285,98.59999975,667.4999995535715,132.20000025
r-fThmrFOqs_00,0,7,0,8.221024039301028e-08,127.79999975000001,24.399999917789756,202.00000025
r-fThmrFOqs_00,0,6,0,88.80000035989717,116.29999975000001,144.79999964010284,155.20000025
r-fThmrFOqs_00,0,5,0,83.40000038863636,96.99999975,117.59999961136364,119.00000025
r-fThmrFOqs_00,0,4,0,730.0000002380953,98.19999975000002,777.9999997619047,148.60000025
r-fThmrFOqs_00,0,3,0,69.900000267,86.69999975,96.599999733,111.70000025
r-fThmrFOqs_00,0,2,0,666.0000004692832,106.19999975,720.9999995307168,135.50000025
r-fThmrFOqs_00,0,1,0,50.30000032273706,125.79999975000001,110.19999967726294,172.20000025
r-fThmrFOqs_00,1,10,0,327.8,150.5,370.2,195.0
r-fThmrFOqs_00,1,9,0,768.0,105.6,840.0,158.4
r-fThmrFOqs_00,1,8,0,608.0,98.8,668.0,132.0
r-fThmrFOqs_00,1,7,0,0.0,127.8,24.5,202.0
r-fThmrFOqs_00,1,6,0,88.8,116.3,144.8,155.2
r-fThmrFOqs_00,1,5,0,83.2,97.0,117.8,119.0
r-fThmrFOqs_00,1,4,0,730.0,98.4,778.0,148.6
r-fThmrFOqs_00,1,3,0,69.9,86.7,97.9,111.7
r-fThmrFOqs_00,1,2,0,666.0,105.9,722.0,135.4
r-fThmrFOqs_00,1,1,0,50.3,125.8,109.9,172.2
r-fThmrFOqs_00,2,10,0,325.0,148.6,369.0,192.4
r-fThmrFOqs_00,2,9,0,768.0,105.1,840.0,158.4
r-fThmrFOqs_00,2,8,0,608.0,98.8,668.0,132.0
r-fThmrFOqs_00,2,7,0,0.0,127.7,24.5,201.8
r-fThmrFOqs_00,2,6,0,88.8,116.1,144.8,155.1
r-fThmrFOqs_00,2,4,0,730.0,99.1,778.0,148.6
r-fThmrFOqs_00,2,3,0,69.8,86.7,100.5,111.7
r-fThmrFOqs_00,2,2,0,666.0,106.0,721.0,135.4
r-fThmrFOqs_00,2,1,0,50.2,125.9,110.0,172.5
r-fThmrFOqs_00,3,10,0,324.0,146.5,367.0,192.0
r-fThmrFOqs_00,3,8,0,608.0,98.6,668.0,131.9
r-fThmrFOqs_00,3,7,0,0.0,127.8,24.5,201.8
r-fThmrFOqs_00,3,6,0,88.8,116.4,144.8,155.1
r-fThmrFOqs_00,3,4,0,729.5,98.0,777.5,148.5
r-fThmrFOqs_00,3,3,0,69.9,86.6,96.8,111.6
r-fThmrFOqs_00,3,2,0,666.0,106.0,718.0,135.2
r-fThmrFOqs_00,3,1,0,50.4,125.9,109.9,172.5
r-fThmrFOqs_00,4,8,0,608.0,98.8,668.0,131.9
r-fThmrFOqs_00,4,7,0,0.0,127.8,24.5,201.8
r-fThmrFOqs_00,4,6,0,88.6,116.4,144.9,155.1
r-fThmrFOqs_00,4,4,0,729.5,98.1,777.5,148.6
r-fThmrFOqs_00,4,3,0,69.9,86.8,96.6,111.8
r-fThmrFOqs_00,4,2,0,666.0,106.0,718.0,135.2
r-fThmrFOqs_00,4,1,0,50.5,125.9,110.0,172.6
r-fThmrFOqs_00,5,8,0,608.0,98.8,667.0,131.5
r-fThmrFOqs_00,5,7,0,0.0,127.8,24.6,201.8
r-fThmrFOqs_00,5,6,0,88.9,116.7,145.4,155.2
r-fThmrFOqs_00,5,4,0,729.0,97.9,779.0,148.6
r-fThmrFOqs_00,5,3,0,69.9,86.6,96.9,111.8
r-fThmrFOqs_00,5,2,0,666.0,106.2,717.0,135.2
r-fThmrFOqs_00,5,1,0,50.2,125.9,110.4,172.4
r-fThmrFOqs_00,6,8,0,608.0,98.9,667.0,131.6
r-fThmrFOqs_00,6,7,0,0.0,127.5,25.4,205.5
r-fThmrFOqs_00,6,6,0,88.9,116.9,145.6,155.1
r-fThmrFOqs_00,6,4,0,729.5,100.2,779.5,148.5
r-fThmrFOqs_00,6,3,0,69.9,86.6,97.4,111.8
r-fThmrFOqs_00,6,2,0,666.0,106.2,723.0,135.2
r-fThmrFOqs_00,6,1,0,50.2,125.9,110.3,172.1
r-fThmrFOqs_00,7,9,0,768.0,103.6,840.0,158.4
r-fThmrFOqs_00,7,8,0,608.0,99.0,667.0,131.5
r-fThmrFOqs_00,7,7,0,0.0,127.5,25.1,205.5
r-fThmrFOqs_00,7,6,0,88.9,116.6,145.6,155.1
r-fThmrFOqs_00,7,4,0,729.5,100.0,798.5,148.6
r-fThmrFOqs_00,7,3,0,69.7,86.8,101.4,111.9
r-fThmrFOqs_00,7,2,0,666.0,106.2,719.0,135.2
r-fThmrFOqs_00,7,1,0,50.4,125.8,110.9,172.8
r-fThmrFOqs_00,8,9,0,768.0,104.0,840.0,158.5
r-fThmrFOqs_00,8,8,0,608.0,99.1,667.0,131.4
